,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,BKL_swe,CAP_swe,CSL_swe,FOR_swe,GOL_swe,GRZ_swe,HMB_swe,HYS_swe,MED_swe,RBB_swe,RBP_swe,RTL_swe,SCN_swe,SDF_swe,STL_swe,SNM_swe
1994-10-01,4.8160977363586435,26.21063041687012,3.719648838043213,6.212769508361816,7.5693092346191415,9.387965202331543,7.3267269134521475,10.071829795837402,0.7879276871681213,6.191464900970459,69.61840057373047,10.8125638961792,0.0,0.0,0.0,0.0,284.884,284.99014,284.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-02,4.850016117095947,26.30710220336914,3.725306749343872,6.230929374694824,7.5945940017700195,9.414862632751463,7.386738777160644,10.087063789367676,0.7887852787971497,6.232150077819824,69.77458953857422,10.83000659942627,0.0,0.0,0.0,0.0,287.85843,288.57703,286.1263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-03,4.8428688049316415,26.28333854675293,3.724121570587158,6.2274675369262695,7.5903053283691415,9.411150932312012,7.367374897003174,10.084686279296877,0.7886685729026794,6.226535320281982,69.7764892578125,10.826753616333008,0.0,0.0,0.054459047000000003,0.0,287.25165,287.58987,283.15808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-04,4.8362345695495605,26.494709014892575,3.7229218482971187,6.223773956298827,7.586066246032715,9.406983375549316,7.34849739074707,10.08234405517578,0.7885797619819641,6.220645427703857,71.5627212524414,10.871368408203123,0.07193605,1.2444053,3.3457682,0.8962023000000001,286.23900000000003,287.32425,283.91547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-05,5.377611637115479,27.564075469970703,3.7222354412078857,6.22031307220459,7.587953090667725,9.426047325134276,7.335070610046388,10.120420455932617,0.7891101837158203,6.261263370513916,73.76487731933594,11.498682022094727,3.9813135,4.9145675,4.3283895999999995,5.8445373,286.3729,286.54214,282.61395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-06,114.95755767822266,139.96403503417972,3.7467441558837886,6.223426818847656,7.739013195037843,16.111934661865234,8.99901294708252,19.8131103515625,0.8220041990280151,20.46091079711914,134.5655517578125,111.41092681884766,45.64549,34.842426,19.62738,55.644024,286.7204,285.2038,282.5785,0.0,0.00021328812000000002,0.012093722,0.00037618616000000004,0.0,0.0,0.0,0.0,0.0030193138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022498306,0.0020975089,0.0
1994-10-07,40.36791610717773,66.01329803466797,3.7313659191131587,6.216814994812013,7.586991786956787,11.552695274353027,7.7740116119384775,14.112361907958984,0.8098554015159607,11.614949226379395,88.64977264404297,43.23783874511719,1.4180993999999998,0.6110061,0.57766503,1.1850659,285.44852000000003,285.63662999999997,283.67136,5.816114,1.1428078000000002,1.0034676,3.043877,0.0,22.73829,27.19678,0.0,10.340235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.059341,0.0,0.0,0.0
1994-10-08,25.699804306030273,45.850990295410156,3.721415519714356,6.21199893951416,7.585152149200439,10.695219993591307,7.647848129272461,22.455440521240234,0.7887970805168152,15.970715522766113,88.93840789794922,27.8481559753418,0.0,2.8258875e-05,4.8177706e-05,0.0,287.76062,288.80154,287.9027,6.2277856,1.3561938999999998,0.9900818000000001,3.8693752,0.0,23.225296,26.244432,0.0,20.19321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.794607000000001,0.0,0.0,0.0
1994-10-09,31.87251281738281,41.89241790771485,3.720932483673096,6.208916664123535,7.583329200744629,10.424506187438963,7.643101692199707,17.58640480041504,0.7888419628143309,14.228179931640625,85.8043212890625,32.775436401367195,0.0,0.0,0.0,0.0,291.78906,292.56815,292.4076,2.9437973,0.84519917,0.3537647,1.8471941000000003,0.0,11.802141,16.164066000000002,0.0,13.000523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-10-10,19.907379150390625,37.86646270751953,3.7200651168823238,6.205757141113281,7.579455375671388,10.225823402404783,7.6044883728027335,13.10660171508789,0.7887871861457825,9.134337425231934,79.11148071289062,24.14748573303223,0.0,0.0,0.0,0.0,293.3083,294.36707,294.52325,0.509067,0.18972783,0.0847963,0.10100676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
