,aprjul_slope,aprjul_intercept,aprjul_mean,aprjul_std,octmar_mean,octmar_std,octmar_intercept,octmar_slope
0,0.048729660643735795,2.2944181374166,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916164,12.642719520815362
1,0.04185882851274121,1.0926410771485877,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916164,12.642719520815362
2,0.028523777416009463,1.0273003181571683,3.6272833344014126,1.942933322565145,0.0,0.0,0.0,0.0
3,0.027640730777190065,0.3607992403280457,3.6272833344014126,1.942933322565145,0.0,0.0,0.0,0.0
4,0.01460841492989864,-0.030847247151583924,1.6303707049424896,0.9809560955573694,0.0,0.0,0.0,0.0
5,0.003923821159542791,0.2813012971340486,0.5339643785716006,0.24649156306982178,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.014786186512942638,3.8080801015033137,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916164,12.642719520815362
10,-0.08894210300723293,3.982676743203537,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916164,12.642719520815362
11,0.21747977537434998,2.173130451701801,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916164,12.642719520815362
