,SWE,FNF,WYC,LP3,RCP
hadgem2-es_rcp26_r1i1p1,18.445986698438823,15.024799209746169,150.06,185.3482201334724,26
hadgem2-es_rcp45_r1i1p1,14.526342146133791,14.762262749090755,149.54,211.75946904241596,45
hadgem2-es_rcp60_r1i1p1,12.420633679555044,15.78077850754087,142.64,199.95884224863056,60
hadgem2-es_rcp85_r1i1p1,6.039084344533268,13.949720186730156,141.08,227.2180731253363,85
inmcm4_rcp45_r1i1p1,23.000954538630708,19.094566020254668,150.42,251.77522363883287,45
inmcm4_rcp85_r1i1p1,15.144626730633522,21.342619951933404,142.36,300.53599609055624,85
ipsl-cm5a-mr_rcp26_r1i1p1,18.5116451831784,16.950671273392253,145.9,235.31727980860828,26
ipsl-cm5a-mr_rcp45_r1i1p1,12.373806799684935,17.718555957414843,142.44,291.0552625596049,45
ipsl-cm5a-mr_rcp60_r1i1p1,7.769946040623767,18.926217675711715,138.66,279.2741824410456,60
ipsl-cm5a-mr_rcp85_r1i1p1,5.245325779672132,17.60337796790963,142.84,294.26946774604016,85
ipsl-cm5b-lr_rcp45_r1i1p1,12.583366976760527,16.785241133750187,143.64,199.20750582779283,45
ipsl-cm5b-lr_rcp85_r1i1p1,8.223556853302826,19.054244844421742,136.84,185.35635364190452,85
miroc-esm-chem_rcp26_r1i1p1,12.576312402923277,11.928997075204128,150.5,208.06301458066935,26
miroc-esm-chem_rcp45_r1i1p1,10.292786813214986,11.260731392131138,145.12,226.03504339831923,45
miroc-esm-chem_rcp60_r1i1p1,8.919657039037723,10.042260597111966,148.08,228.40270363169788,60
miroc-esm-chem_rcp85_r1i1p1,5.785628133550476,9.823170796680923,144.2,199.07409772282847,85
miroc-esm_rcp26_r1i1p1,11.742909272666276,11.748750742324194,147.7,178.41042195653773,26
miroc-esm_rcp45_r1i1p1,9.714007792533863,10.341233757520897,150.62,140.89468130457917,45
miroc-esm_rcp60_r1i1p1,8.574790550929702,11.806436644137813,142.18,213.82573101250642,60
miroc-esm_rcp85_r1i1p1,6.10860138688435,9.327538905799862,145.0,157.9324446084111,85
miroc5_rcp26_r1i1p1,16.842312000492402,13.90587238677755,148.1,187.0188335973441,26
miroc5_rcp45_r1i1p1,17.42896316384707,14.577317644628653,142.32,200.46791585800858,45
miroc5_rcp60_r1i1p1,12.038484624239386,12.45026664949987,146.9,191.11648987659078,60
miroc5_rcp85_r1i1p1,9.991443292503506,14.945826587624616,140.56,186.43870387368457,85
mpi-esm-lr_rcp26_r1i1p1,21.7962777122738,15.64429223146657,147.26,201.23377840784892,26
mpi-esm-lr_rcp45_r1i1p1,20.24967965688411,17.52465633899757,145.4,248.35011813776413,45
mpi-esm-lr_rcp85_r1i1p1,10.766311754180704,15.509920165451545,137.82,243.06797323125613,85
mpi-esm-mr_rcp26_r1i1p1,23.26686021328911,20.32222979931785,149.8,231.59296254128654,26
mpi-esm-mr_rcp45_r1i1p1,18.935912279256684,20.03993967781638,142.76,218.89707819008035,45
mpi-esm-mr_rcp85_r1i1p1,10.730425176282576,15.531820437447726,139.74,208.8624787489793,85
mri-cgcm3_rcp26_r1i1p1,31.645499489251097,20.881390387222527,151.56,185.32164778277917,26
mri-cgcm3_rcp45_r1i1p1,26.46769872706705,17.696687223263247,148.86,172.6683325667305,45
mri-cgcm3_rcp85_r1i1p1,23.59743978132412,20.59496760342056,144.26,188.45336830061376,85
noresm1-m_rcp26_r1i1p1,17.820015619871178,15.628393374369391,146.76,202.24855321774612,26
noresm1-m_rcp45_r1i1p1,14.236419653892524,15.010978255389292,143.14,218.32084172376744,45
noresm1-m_rcp60_r1i1p1,18.597500618611726,16.535161046085367,138.48,231.1323789988905,60
noresm1-m_rcp85_r1i1p1,12.202232542424499,14.887189098149815,141.12,203.91244636526613,85
