,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
2089-10-01,3089.0409999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.5190000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
2089-10-02,3082.541051662482,10.283404504496655,10.283404504496655,6.262759343206333,4530.333333333333,2.6925114153343332,0.0,0.0,721.2064580894469,2.912256125879879,2.912256125879879,2.0296754807185886,967.0,1.1371134987505889,0.0,0.0,2730.2554792659275,6.748354273646948,6.748354273646948,6.748354273646948,3325.0666666666666,5.2607509703669475,0.0,0.0,15.040789097571869,5.950413213119999,3.8296249140849214,5.2607509703669475,82.0,9.574062285212307,10.521501940733895
2089-10-03,3076.0645103877932,10.256951075706798,10.256951075706798,6.262757527319701,4508.666666666667,2.6925095994477015,0.0,0.0,718.4712035031322,2.9064514901536085,2.9064514901536085,2.0296772966052212,959.0,1.1371153146372213,0.0,0.0,2725.0388050390657,6.699136629204268,6.699136629204268,6.699136629204268,3312.6,5.211533325924267,0.0,0.0,14.99157145312919,5.950413213119998,3.8296249140849232,5.211533325924267,82.47952069531938,9.574062285212307,10.423066651848535
2089-10-04,3069.6114064527537,10.23049948136989,10.23049948136989,6.26275754588602,4487.0,2.6925096180140184,0.0,0.0,715.7412304979279,2.9006450199743883,2.9006450199743883,2.0296772780389043,951.0,1.1371152960709043,0.0,0.0,2719.8689384121044,6.649918984761588,6.649918984761588,6.649918984761588,3300.133333333333,5.162315681481588,0.0,0.0,14.942353808686512,5.95041321312,3.829624914084925,5.162315681481588,82.9326677523962,9.574062285212307,10.324631362963176
2089-10-05,3063.1821011711613,10.204049736451047,10.204049736451047,6.262759413870402,4465.333333333333,2.692511485998402,0.0,0.0,713.0165735527235,2.8948367003771014,2.8948367003771014,2.0296754100545207,943.0,1.1371134280865207,0.0,0.0,2714.746006895683,6.600701340318907,6.600701340318907,6.600701340318907,3287.6666666666665,5.113098037038907,0.0,0.0,14.893136164243831,5.95041321312,3.8296249140849232,5.113098037038907,83.36089172133379,9.574062285212307,10.226196074077814
2089-10-06,3056.7769129868357,10.177601895896142,10.177601895896142,6.262763186218724,4443.666666666667,2.692515258346723,0.0,0.0,710.2972938106703,2.889026476415877,2.889026476415877,2.0296716377061994,935.0,1.1371096557381997,0.0,0.0,2709.6702420647553,6.551483695876228,6.551483695876228,6.551483695876228,3275.2,5.063880392596228,0.0,0.0,14.84391851980115,5.950413213119998,3.8296249140849232,5.063880392596228,83.76556337197981,9.574062285212307,10.127760785192455
2089-10-07,3050.3960310967336,10.151155996918316,10.151155996918316,6.262768900144122,4422.0,2.6925209722721237,0.0,0.0,707.5834285045981,2.8832143108775727,2.8832143108775727,2.0296659237807986,927.0,1.1371039418127986,0.0,0.0,2704.641858589133,6.502266051433549,6.502266051433549,6.502266051433549,3262.7333333333336,5.014662748153548,0.0,0.0,14.794700875358469,5.95041321312,3.8296249140849214,5.014662748153548,84.14797808184031,9.574062285212307,10.029325496307097
2089-10-08,3044.0397658546176,10.124712064544044,10.124712064544044,6.262776580673076,4400.333333333333,2.6925286528010766,0.0,0.0,704.8763545214694,2.8774001787357175,2.8774001787357175,2.0296582432518466,919.0,1.1370962612838467,0.0,0.0,2699.661075131299,6.4530484069908685,6.4530484069908685,6.4530484069908685,3250.2666666666664,4.965445103710868,0.0,0.0,14.745483230915791,5.950413213119999,3.8296249140849232,4.965445103710868,84.50935998265847,9.574062285212307,9.930890207421736
2089-10-09,3037.708197212765,10.098269604907843,10.098269604907843,6.262785733940102,4378.666666666667,2.6925378060681013,0.0,0.0,702.1757713719496,2.8715845738557895,2.8715845738557895,2.029649089984822,911.0,1.1370871080168217,0.0,0.0,2694.7280106218977,6.403830762548188,6.403830762548188,6.403830762548188,3237.8,4.916227459268188,0.0,0.0,14.69626558647311,5.950413213119998,3.8296249140849232,4.916227459268188,84.85086587893163,9.574062285212307,9.832454918536376
2089-10-10,3031.4016863386937,10.071828758691497,10.071828758691497,6.2627965006269815,4357.0,2.692548572754981,0.0,0.0,699.478582228866,2.865767355556006,2.865767355556006,2.0296383232979416,903.0,1.1370763413299416,0.0,0.0,2689.8430011674222,6.354613118105509,6.354613118105509,6.354613118105509,3225.3333333333335,4.867009814825509,0.0,0.0,14.647047942030433,5.95041321312,3.8296249140849232,4.867009814825509,85.17358895090977,9.574062285212307,9.734019629651018
