datetime,SHA_storage,SHA_tocs,SHA_available_storage,SHA_out,FOL_storage,FOL_tocs,FOL_available_storage,FOL_out,ORO_storage,ORO_tocs,ORO_available_storage,ORO_out,YRS_storage,YRS_tocs,YRS_available_storage,YRS_out,NML_storage,NML_tocs,NML_available_storage,NML_out,DNP_storage,DNP_tocs,DNP_available_storage,DNP_out,EXC_storage,EXC_tocs,EXC_available_storage,EXC_out,DEL_TRP_pump,DEL_HRO_pump,DEL_total_outflow,DEL_SWP_allocation,DEL_CVP_allocation,DEL_X2
1996-10-01,3090.0,4530.333333333333,-165.41847492804698,6.85090907937216,724.0,967.0,-61.269421384425726,3.710690477527742,2740.0,3337.0666666666666,-126.95077664571893,3.45917354789376,694.0,908.2333333333333,-61.3999942767677,1.388429749728,1990.0,2260.0,0.0,1.42413222900672,1690.0,1758.5714285714287,0.0,3.335999994382176,699.0,843.7666666666667,0.0,1.89024793070112,8.528925605472,13.122062362505442,7.933884284159999,0.0,0.0,82.0
1996-10-02,3092.8046280944504,4508.666666666667,100.70273536760646,6.86876031901152,723.2109624101142,959.0,-9.736475591347329,3.7058517678503224,2739.8452892564587,3324.633333333333,-5.97094213870534,3.45719007682272,692.611570250272,904.4666666666667,-89.94309753448618,1.388429749728,1990.795371899487,2250.0,0.0,1.145256196418496,1686.6330578569098,1747.142857142857,0.0,3.359801647234656,697.0927410280052,837.9333333333334,0.0,1.3943801629411199,8.528925605472,11.630413737976433,7.933884284159998,13.122062362505442,73.98570359441621,82.29373679398283
1996-10-03,3095.055867760081,4487.0,69.27604947011599,7.738575977460259,722.3613089845616,951.0,-14.424145539362428,3.7010130581729035,2740.507768594186,3312.2,45.75004950973363,16.712727244583032,691.2231405005441,900.7,-89.94309753448613,1.388429749728,1992.1631735500762,2240.0,0.0,3.5063801593845128,1683.242314060967,1735.7142857142858,0.0,2.9869090858791356,695.6912671791256,832.1,0.0,1.28330578296288,8.528925605472,13.249586754547199,13.46332456941527,54.490008281808734,62.0872833665194,82.5713180642966
1996-10-04,3096.1556388751756,4465.333333333333,50.63583301514694,6.891302912661592,720.1974860064447,943.0,-92.08681136554584,3.696174348495484,2729.231735555323,3299.766666666667,116.20439236629474,16.844823482765904,689.8547100896254,896.9333333333333,-88.7831358835469,1.388429749728,1990.792991734202,2230.0,0.0,1.145256196418496,1682.3090909220425,1724.2857142857142,0.0,4.7640991655309755,694.390950354869,826.2666666666667,0.0,1.13652892370592,8.528925605472,13.249586754547199,11.205325564637636,113.53491789312065,58.500068276261516,82.49211834800836
1996-10-05,3099.72714586225,4443.666666666667,147.20059604396772,6.81123965795136,718.6196587618199,935.0,-60.104308088173866,3.6913356388180647,2717.944598013611,3287.3333333333335,102.52915565505043,13.006921569744456,688.4862796787068,893.1666666666666,-88.78313588354688,1.388429749728,1992.1885619797856,2220.0,0.0,1.18611570048192,1677.5140496078034,1712.857142857143,0.0,4.819636355520096,693.2374103898694,820.4333333333334,0.0,1.3527272704492799,8.528925605472,13.249586754547199,12.275315067250428,117.89560078535906,129.796089850467,82.53582990899626
1996-10-06,3099.5010301601515,4422.0,-64.10918872415351,6.78942147616992,717.2807198132554,927.0,-46.48787516109681,3.6864969291406453,2710.481478087423,3274.9,92.67793655933022,15.186414687912036,687.1178492677881,889.4,-88.78313588354685,1.388429749728,1992.9680661107043,2210.0,0.0,1.145256196418496,1674.38909093538,1701.4285714285713,0.0,4.274181810984096,691.8676720781265,814.6,0.0,1.83074379856992,8.528925605472,13.249586754547199,12.106696752413926,124.74189512768811,42.64462802736,82.51823998739953
1996-10-07,3101.3278070165793,4400.333333333333,49.044340010915846,8.311895045713309,715.4170327984004,919.0,-75.04114890786596,3.681658219463226,2700.7853113241495,3262.4666666666667,80.59367062652444,17.537854913228074,685.7494188568694,885.6333333333333,-88.78313588354682,1.388429749728,1993.3679338786258,2200.0,0.0,1.4558677661433599,1670.9904132551528,1690.0,0.0,3.3260826390269758,690.0576031886127,808.7666666666667,0.0,1.04925619658016,8.528925605472,13.249586754547199,11.150780110184037,130.13670902591156,83.0523746399273,82.51054989593264
1996-10-08,3101.3167384031685,4378.666666666667,30.747874734082757,8.583818200989775,714.1928952359558,911.0,-41.921484875253014,3.6768195097858065,2688.6028283027294,3250.0333333333333,66.0230884355723,18.349467041963628,684.3809884459507,881.8666666666667,-88.71121026383321,1.388429749728,1994.2902479266593,2190.0,0.0,2.576925615495168,1667.8614876405873,1690.0,0.0,3.3181487547428157,688.9913359507389,802.9333333333334,0.0,1.0274380147987199,8.528925605472,13.249586754547199,11.14610478551659,133.91541735633984,79.68859781545778,82.5563990130663
1996-10-09,3100.6628375441965,4357.0,9.751494570524471,8.238453990127471,712.3726046486635,903.0,-73.98375888269223,3.671980800108387,2675.9201381107273,3237.6,67.14535689800852,16.72553537314774,683.012558035032,878.1,-88.6311772061167,1.388429749728,1994.281917348161,2180.0,0.0,2.8994380116462715,1666.0059504536293,1690.0,0.0,3.268561977966816,688.0976306960455,797.1,0.0,1.2396694194,8.528925605472,13.249586754547199,11.156234655629389,147.8944786114706,74.56987631461689,82.5999972563225
1996-10-10,3099.453805029835,4335.333333333333,-37.04811637945903,6.78942147616992,712.1459130989516,895.0,9.414673393713343,3.6671420904309677,2662.6022060376267,3225.1666666666665,-64.08993034842004,3.4651239611068796,681.6441276241134,874.3333333333334,-88.63117720611667,3.84396693567552,1993.8340495803202,2170.0,0.0,1.145256196418496,1663.9897521099172,1690.0,0.0,4.912859495858976,686.8409502353518,791.2666666666667,0.0,1.0314049569408,8.528925605472,5.3806627487024254,7.9338842841599995,117.49958338231225,82.87986815516166,82.64061094662424
