,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,BKL_swe,CAP_swe,CSL_swe,FOR_swe,GOL_swe,GRZ_swe,HMB_swe,HYS_swe,MED_swe,RBB_swe,RBP_swe,RTL_swe,SCN_swe,SDF_swe,STL_swe,SNM_swe
2039-10-13,56.38294200000001,259.07648,5.4345946,9.076759,11.450845,13.756264999999999,15.053045999999998,18.075829000000002,1.2747201000000001,14.006905,152.00714,141.47592,17.49736,27.362318,5.289353,38.222202,289.9005,290.2782,286.52286000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-14,19.779528,78.706474,5.4220405,9.066346000000001,11.020793,12.766748,12.85892,14.308117999999999,1.2909595,9.721392999999999,148.97635,41.37648,0.9611569,1.8252903999999999,4.029908,3.3458576,287.36606,287.80804,286.5379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-15,17.874233,70.31316,5.3869405,9.054734,11.037252,12.786230999999999,12.493914,14.311501000000002,1.2541275,9.767735499999999,151.25441,39.00588,2.7123606,2.3773663,4.5917535,4.863387,290.1533,289.3951,286.6066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-16,17.670248,73.88861999999999,5.3841863,9.04579,11.005174,12.75837,12.058444999999999,14.263271,1.2535806999999999,9.608765,219.66313,38.004646,1.1645370000000002,6.264442,14.935254999999998,3.3593411,291.47722999999996,291.06192000000004,288.44336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-17,15.821330999999999,71.80173,5.3809085,9.081819,10.952022,12.7201805,11.713942999999999,14.208439000000002,1.2627492,9.437864999999999,186.75284,32.371464,0.0040716543,0.37053803,0.6321535,0.13010247,292.75934,292.45807,288.79517000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-18,20.918326999999998,71.292885,12.055089,85.55799,35.76073,27.70037,46.117542,17.715454,3.7584195,23.7073,169.90433000000002,33.99785,9.713756,6.652765,3.311151,9.989591,295.61627000000004,294.51175,291.35437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-19,422.10828,279.73236,59.85613000000001,332.92953,458.2481,295.01904,567.7237,172.04335,20.125656,508.77425999999997,541.99396,182.79126000000002,68.75220999999999,37.52986,28.563126,46.004257,292.64383,292.02472,289.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-20,412.62405,296.4564,20.900202,59.717934,119.34798400000001,96.95375,184.50485,154.93906,6.900958999999999,240.38762000000003,535.54913,223.15927000000002,24.078762,10.816361,10.4718275,18.922667,289.72934,288.67212,286.29816,0.0,0.0,0.00017163143000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-21,123.366844,169.75873,14.187111999999999,35.69112,65.70008,49.57669,94.02354,56.99019200000001,4.6981764,92.56825,285.37268,89.03155,0.658557,2.9300767999999997,1.8753357,2.1874335,288.52013999999997,288.05264,284.68442000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-22,90.40828,116.38151,11.036904,27.050257000000002,43.526665,33.319320000000005,57.735409999999995,37.304325,3.7346945,53.658809999999995,211.4426,58.390648,7.8113904000000005,0.7983640999999999,0.9534431999999999,1.8307613,286.50632,286.90335,286.11328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-23,221.15715,106.41287,9.494128,22.57302,36.17457,36.127804,47.045605,78.57178,3.1242115000000004,84.588646,189.1684,56.62619,21.921352,3.163755,1.8292685000000002,5.5691223,288.24832000000004,287.7811,284.8607,0.17558715,0.0,0.0,0.0,0.0,4.298166999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-24,106.04423,95.31405,8.683749,19.860214000000003,32.41774,32.61355,41.921566,52.736332,2.765843,65.6882,175.7781,52.28543,0.30477148,0.41327709999999995,0.15592845,0.66008157,288.35745,288.03612999999996,287.87703999999997,0.08679659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-25,66.27671,83.51893000000001,8.0556,17.991966,27.697132,26.417133000000003,34.745434,36.71394,2.4915338,44.611298,166.42938,42.496845,7.257229e-05,0.0040292237,0.54784054,0.0,290.06577000000004,289.78616,286.70682,0.082462855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
