,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
1994-10-01,3089.0409999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.5190000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0
1994-10-02,3085.053115976047,10.283404504496655,10.283404504496655,6.262759343206333,4530.333333333333,2.6925114153343332,0.0,0.0,721.3942321053642,2.912256125879879,2.912256125879879,2.0296754807185886,967.0,1.1371134987505889,0.0,0.0,2731.0455251185986,6.748354273646948,6.748354273646948,6.748354273646948,3325.0666666666666,5.2607509703669475,0.0,0.0,15.040789097571869,5.950413213119999,3.8296249140849214,5.2607509703669475,82.0,9.574062285212307,10.521501940733895
1994-10-03,3080.4978016253376,10.257299750800655,10.257299750800655,6.263106202413558,4508.666666666667,2.6928582745415595,0.0,0.0,718.8151554844869,2.90610281505975,2.90610281505975,2.029328621511363,959.0,1.136766639543363,0.0,0.0,2726.5309519557536,6.699136629204268,6.699136629204268,6.699136629204268,3312.6,5.211533325924267,0.0,0.0,14.99157145312919,5.950413213120002,3.8296249140849214,5.211533325924267,82.47952069531938,9.574062285212307,10.423066651848535
1994-10-04,3075.681530125215,10.231110450642797,10.231110450642797,6.263368515158927,4487.0,2.693120587286927,0.0,0.0,716.2204112302462,2.9000340507014797,2.9000340507014797,2.0290663087659957,951.0,1.136504326797996,0.0,0.0,2721.994220700996,6.649918984761588,6.649918984761588,6.649918984761588,3300.133333333333,5.162315681481588,0.0,0.0,14.942353808686512,5.95041321312,3.8296249140849232,5.162315681481588,82.93266775239618,9.574062285212307,10.324631362963176
1994-10-05,3070.861254621332,10.204883907275978,10.204883907275978,6.263593584695332,4465.333333333333,2.693345656823332,0.0,0.0,713.6187085675787,2.894002529552172,2.894002529552172,2.028841239229591,943.0,1.1362792572615912,0.0,0.0,2717.4701514700705,6.600701340318907,6.600701340318907,6.600701340318907,3287.6666666666665,5.113098037038907,0.0,0.0,14.893136164243831,5.95041321312,3.8296249140849232,5.113098037038907,83.36089172133377,9.574062285212307,10.226196074077814
1994-10-06,3065.959398305732,10.178659972381743,10.178659972381743,6.263821262704324,4443.666666666667,2.693573334832324,0.0,0.0,711.013869938578,2.8879683999302763,2.8879683999302763,2.028613561220599,935.0,1.1360515792525987,0.0,0.0,2712.9673114447705,6.551483695876228,6.551483695876228,6.551483695876228,3275.2,5.063880392596228,0.0,0.0,14.84391851980115,5.950413213119998,3.8296249140849232,5.063880392596228,83.7655633719798,9.574062285212307,10.127760785192455
1994-10-07,3061.0166094076294,10.152423996008885,10.152423996008885,6.264036899234691,4422.0,2.693788971362691,0.0,0.0,708.4066969361296,2.8819463117870057,2.8819463117870057,2.0283979246902315,927.0,1.1358359427222315,0.0,0.0,2708.4833832699874,6.502266051433549,6.502266051433549,6.502266051433549,3262.7333333333336,5.014662748153548,0.0,0.0,14.794700875358473,5.95041321312,3.8296249140849232,5.014662748153548,84.1479780818403,9.574062285212307,10.029325496307097
1994-10-08,3056.211338013089,10.126182508034137,10.126182508034137,6.26424702416317,4400.333333333333,2.6939990962911713,0.0,0.0,705.7986309508057,2.8759297352456223,2.8759297352456223,2.0281877997617515,919.0,1.1356258177937513,0.0,0.0,2704.0460600035876,6.4530484069908685,6.4530484069908685,6.4530484069908685,3250.2666666666664,4.965445103710868,0.0,0.0,14.74548323091579,5.950413213119999,3.8296249140849214,4.965445103710868,84.50935998265845,9.574062285212307,9.930890207421736
1994-10-09,3051.7045478784,10.099965164288118,10.099965164288118,6.264481293320377,4378.666666666667,2.6942333654483774,0.0,0.0,703.219920851679,2.8698890144755134,2.8698890144755134,2.0279535306045458,911.0,1.1353915486365456,0.0,0.0,2699.744448016438,6.403830762548188,6.403830762548188,6.403830762548188,3137.8,4.916227459268188,0.0,0.0,14.69626558647311,5.950413213119998,3.8296249140849232,4.916227459268188,84.85086587893161,9.574062285212307,9.832454918536376
1994-10-10,3050.0790816075473,10.073787157127573,10.073787157127573,6.264754899063057,4357.0,2.6945069711910574,0.0,0.0,700.9924085877508,2.8638089571199306,2.8638089571199306,2.027679924861866,854.4,1.135117942893866,0.0,0.0,2698.2373859664867,6.354613118105509,6.354613118105509,6.354613118105509,2912.8333333333335,4.867009814825509,0.0,0.0,14.647047942030433,5.95041321312,3.8296249140849232,4.867009814825509,85.17358895090976,9.574062285212307,9.734019629651018
