,MED_swe,SDF_swe,SLT_swe,SNM_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe
2039-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009349245
2039-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.573824,22.141464,0.0,0.0,0.0,0.0,0.0
2039-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.516038,26.318785,0.0,0.0,0.0,0.0,0.0
2039-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7798142,40.457733,0.0,0.0,0.0,0.0,0.0
2039-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3801827,42.064728,0.0,0.0,0.0,0.0,0.0
2039-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.580936,0.0,0.0,0.0,0.0,0.0
2039-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.962008,0.0,0.0,0.0,0.0,0.0
2039-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9389408
2039-11-09,0.003696869,0.0800413,0.0,0.0,0.0,0.0,0.0,0.0,0.004499313,0.7780263,11.353165,0.024583487,0.21878116,0.0,0.0,28.917828
2039-11-10,6.051189,0.0010531802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.058811,31.10673,0.0,9.7780485,0.0,0.0,40.077286
2039-11-11,5.8098335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.900248,35.86616,0.0,19.522694,0.0,0.0,49.895412
2039-11-12,0.0,0.0,0.0,0.0013172418,0.0,0.0,0.0,0.0,0.0,0.59201485,20.501749,0.0,8.987872,0.0,0.0,44.0435
2039-11-13,4.429605,4.927654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.069275,61.763924,0.0,47.32511,0.0,0.0,96.37521
2039-11-14,4.6819763,4.939564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.312134,64.757904,7.9789524,53.376762,7.3645687,7.3645687,99.925354
2039-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.142223,64.715034,5.52111,51.773705,4.4970093,4.4970093,100.16078
2039-11-16,22.355217,17.570135,0.0,0.38109252,0.0,0.041937303,0.0,0.0,0.0049458295,51.205708,76.093346,2.372984,64.62765,5.8624125,5.8624125,121.63875
2039-11-17,28.689255,22.351564,0.004011364,5.294527,2.7366993,5.6343784,0.0,0.0,5.017019,68.37534,92.40746,25.527466,84.09222,27.333332,27.333332,134.96352
2039-11-18,37.764824,37.752335,9.659147,42.638115,43.499134,36.440353,0.0,17.084759,34.29649,125.24922,140.02777,86.33723,137.77621,85.461174,85.461174,192.459
2039-11-19,43.425163,47.959015,8.351459,50.152622,55.77721,52.989227,0.0,20.954815,39.651123,153.2983,165.61559,101.661415,170.68898,102.835846,102.835846,221.995
2039-11-20,57.65449,57.05449,0.5461873,56.0836,51.00524,62.071648,0.0,13.4778805,33.638283,154.56596,193.42204,90.24804,199.91705,91.50161,91.50161,274.4549
2039-11-21,63.07097,58.589138,0.0,59.7927,59.701138,66.18985,0.0,15.439434,37.29939,165.3197,199.4223,98.993286,218.62465,99.7921,99.7921,280.02643
2039-11-22,62.728737,55.502132,0.0,52.666565,58.185986,64.5864,0.0,12.41859,35.75792,163.5636,197.72757,92.48516,215.25612,90.32521,90.32521,279.759
2039-11-23,57.794823,49.357445,0.0,42.94349,49.085037,59.042473,0.0,7.928216,29.36799,155.39995,193.55186,80.569786,206.92686,80.1697,80.1697,279.56213
2039-11-24,51.751606,41.181435,0.0,36.187866,41.439884,53.31167,0.0,0.0,21.815594,149.91827,190.10416,71.78377,202.19847,72.41873,72.41873,279.4276
2039-11-25,50.393036,38.45444,0.0,29.418034,35.25704,50.10009,0.0,0.0,16.725328,145.32137,188.40288,60.64344,196.38182,59.354633,59.354633,279.2129
2039-11-26,43.06039,26.920284,0.0,14.816068,22.01064,43.781006,0.0,0.0,7.2198873,132.7938,182.2046,46.309837,188.71342,44.998062,44.998062,274.9871
2039-11-27,40.582375,26.675259,0.0,10.989759,18.555887,44.24358,0.0,0.0,0.0,134.53873,187.55391,44.970345,191.38068,40.659245,40.659245,283.45734
2039-11-28,42.864254,38.869865,0.0,12.588258,19.520685,48.93436,0.0,0.0,0.0,136.7112,188.36365,48.83098,195.28546,43.485905,43.485905,283.69412
2039-11-29,39.86712,36.571754,0.0,10.161261,15.38021,48.373734,0.0,0.0,0.0,136.99869,188.05026,48.062218,196.5901,42.626423,42.626423,284.2428
2039-11-30,13.456581,15.913666,0.0,0.0,0.52256155,37.085644,0.0,0.0,0.0,123.643936,182.14793,37.888382,188.51892,31.141201,31.141201,282.4836
