,FOL_pr,ORO_pr,SHA_pr,YRS_pr
2040-01-04,0.0005582484,0.00044411107,0.019423889,0.0010075803
2040-01-05,4.9462585,7.470684,0.23240635,9.033002
2040-01-06,5.5730276,9.264472,7.857926,6.0381904
2040-01-07,2.4512708,1.468711,3.4680738,2.14585
2040-01-08,20.897068,25.711243,17.544558,39.200787
2040-01-09,83.47723,37.42144,34.165318,69.545296
2040-01-10,40.159687,28.045885,15.649274,32.081963
2040-01-11,0.115527645,0.09106646,0.7233383,0.13254334
2040-01-12,32.50579,28.929691,18.77544,32.50616
2040-01-13,0.011503639,0.06598121,0.09569105,0.06364916
2040-01-14,0.0928114,0.33472303,0.15765315,0.28916755
2040-01-15,0.29767552,0.26097238,1.4864732,0.08589147
2040-01-16,0.0077801216,0.010543823,0.040315367,0.014902584
2040-01-17,0.0,0.0,0.017159002,0.0
2040-01-18,0.0,0.00034974748,7.486686e-05,0.0
2040-01-19,0.0,0.0,0.0,0.0
2040-01-20,0.0,0.0,0.0,0.0
2040-01-21,0.0070919874,0.0075771934,0.07914218,0.010237897
2040-01-22,0.062813364,0.09591735,1.6473701,0.061982702
2040-01-23,0.10336899,5.575922,19.13633,0.6321081
2040-01-24,36.979843,34.530563,17.328169,43.147026
2040-01-25,1.127118,1.1002418,0.7672457,0.66209435
2040-01-26,4.8675733,4.2734585,4.8731937,6.4294453
2040-01-27,3.9583158,1.0043993,2.547513,2.642212
2040-01-28,0.009358476,0.020044126,0.01174301,0.011489618
2040-01-29,0.0,0.0,0.005355286,0.0
2040-01-30,0.0018786918,0.02124154,0.1673326,0.0014468334
2040-01-31,17.199697,10.48985,8.386949,18.257431
2040-02-01,0.3608205,0.010619916,0.014100219,0.1347096
2040-02-02,0.015003484,0.34670117,2.2467277,0.056488536
2040-02-03,0.00031931806,0.014711481,0.015491404,0.0
2040-02-04,0.0,0.0,0.0,0.0
2040-02-05,0.0,0.0,0.00020659743,0.0
2040-02-06,0.0,0.0,0.0,0.0
2040-02-07,0.0,0.0,0.0,0.0
2040-02-08,0.0,0.0,0.0,0.0
2040-02-09,0.0002910335,4.2965537e-05,0.007130026,0.0
2040-02-10,0.0025962272,0.0,0.0,0.0
2040-02-11,0.0004786049,0.001151637,0.0036473994,0.0032808897
2040-02-12,1.9501194,2.026648,1.6173356,3.8221745
2040-02-13,31.74223,35.42719,25.333406,38.708797
2040-02-14,12.754923,10.644803,9.477076,14.686439
2040-02-15,43.94943,34.480804,15.589151,43.84258
2040-02-16,9.520722,6.367398,1.593434,11.451096
2040-02-17,0.057750423,0.15917246,1.0634743,0.060268715
2040-02-18,8.931974e-06,0.012182537,0.014578291,0.0075703603
2040-02-19,20.063168,19.701809,17.033386,26.825375
2040-02-20,78.84325,44.778526,24.194092,83.19779
2040-02-21,10.332788,7.691501,9.148064,12.054676
2040-02-22,58.241074,63.971302,43.543922,74.91272
2040-02-23,70.97335,24.367538,4.628467,53.281483
2040-02-24,0.11049969,0.08671469,0.022301544,0.15276399
2040-02-25,8.250569,5.9412847,5.1143336,8.676072
2040-02-26,8.203361,5.7260594,3.4610915,8.464639
2040-02-27,25.708681,13.083977,9.482505,21.619884
2040-02-28,13.398544,5.3220506,7.7714667,11.399033
2040-03-01,16.319767,11.005212,7.0456347,18.710709
2040-03-02,62.1528,37.453728,21.739582,53.120045
2040-03-03,11.9926605,5.48967,1.7878022,10.067264
2040-03-04,1.2508157,0.5288393,1.3514506,0.71988565
2040-03-05,19.300617,9.65665,5.459073,17.998844
2040-03-06,28.04226,13.698669,12.301705,27.50362
2040-03-07,78.306366,63.572254,30.968103,80.55763
2040-03-08,0.07906435,0.11962931,0.16391738,0.08232942
2040-03-09,0.5894537,4.39565,12.462667,1.3232632
2040-03-10,71.474396,71.041824,48.682415,91.21312
2040-03-11,61.792637,14.0543165,5.561786,32.19993
2040-03-12,12.107867,1.886803,0.4796776,3.359093
2040-03-13,28.650778,23.237831,15.605105,27.551989
2040-03-14,1.4156606,2.1336308,4.8505554,2.192773
2040-03-15,0.6516664,4.484595,7.2248,3.3967526
2040-03-16,29.971659,18.521484,18.80594,21.335976
2040-03-17,1.7956483,1.4555259,0.5354229,1.5565245
2040-03-18,4.99674,4.4464684,5.059807,4.28814
2040-03-19,0.40133145,0.8216882,2.2429073,1.0744449
2040-03-20,6.2148595,31.608374,34.319767,22.118416
2040-03-21,1.5289671,1.9574268,2.8921404,2.6273353
2040-03-22,0.3313822,0.5890625,0.61442125,0.6085305
2040-03-23,1.2930901,0.88344514,3.3331563,1.3221675
2040-03-24,20.847107,18.19586,14.6079,26.000736
2040-03-25,10.554496,3.2621639,4.143256,6.5442176
2040-03-26,5.4436936,12.282314,9.15878,11.12588
2040-03-27,39.045803,26.186205,14.1144285,36.44248
2040-03-28,7.2408857,1.2426312,2.6842508,1.7808628
2040-03-29,21.887264,28.477764,18.488758,32.977974
2040-03-30,14.423667,5.109996,4.4434342,10.486008
2040-03-31,2.0918965,4.8227596,6.6847043,4.68258
2040-04-01,26.974205,9.33283,7.2839518,22.959389
2040-04-02,12.316489,7.987146,3.1804168,10.536913
2040-04-03,1.1768523,1.3986927,4.503995,1.6727685
2040-04-04,7.87476,13.862755,24.039917,13.744534
2040-04-05,12.528925,11.625231,4.9525833,16.81555
2040-04-06,24.13059,14.009549,9.657455,21.404694
2040-04-07,28.820621,20.109188,6.49793,32.160786
2040-04-08,4.704237,2.6301029,0.8144349,3.4228916
2040-04-09,0.0,0.000818353,0.004441076,0.0
2040-04-10,4.2337604,1.828532,2.4640315,2.5673008
2040-04-11,0.73137087,0.1513206,0.3614368,0.40090293
2040-04-12,3.87728,1.4379361,1.3101786,1.9091016
2040-04-13,2.5016806,5.4075203,6.944699,5.826491
2040-04-14,0.09814453,0.2676751,0.7558196,0.13443744
2040-04-15,0.43275043,1.1779166,2.7870386,1.0802512
2040-04-16,0.0,0.0032677902,0.0061573056,4.002305e-05
2040-04-17,1.7863948e-05,0.0,0.0,0.0
2040-04-18,1.690379,0.39282086,0.25622624,1.0756096
2040-04-19,39.63174,16.043371,7.5720444,29.671015
2040-04-20,4.581588,1.3198905,2.7432117,3.7294812
2040-04-21,2.6556814,2.4602787,9.073981,2.1380675
2040-04-22,23.377497,12.99368,10.121244,18.311607
2040-04-23,0.12462188,0.2176871,1.7222189,0.18970726
2040-04-24,0.12877525,2.686824,7.8709707,0.4777572
2040-04-25,1.4439161,2.1524386,4.9819407,2.5307117
2040-04-26,0.60985136,2.434399,8.475123,1.1624897
2040-04-27,10.198742,13.2143955,27.887144,10.668387
2040-04-28,55.396973,54.551327,24.67273,65.54327
2040-04-29,4.5780716,1.9927154,2.8086658,4.26903
2040-04-30,0.11260837,0.63928664,3.8171062,0.21120065
2040-05-01,31.21343,25.13978,16.564007,37.0769
2040-05-02,6.3257847,3.7738056,3.012422,6.9988303
2040-05-03,0.0013338416,0.0002786737,0.0035545295,0.0023213371
2040-05-04,6.996712e-05,0.00083361176,0.047111675,0.0
2040-05-05,0.059491415,0.007243508,0.00026346112,0.10925693
2040-05-06,0.032437954,0.1795845,0.0009287004,0.21341093
2040-05-07,1.6981529,0.0042632255,0.0046312073,0.04559226
2040-05-08,0.9411353,0.7047886,0.14796174,0.71568024
2040-05-09,1.4513594,1.0804998,1.2759597,0.36351138
2040-05-10,0.29555306,0.7244379,0.46509317,0.03175429
2040-05-11,0.011254287,0.00022647253,0.2650636,0.0
2040-05-12,1.1909298e-05,0.00085047673,0.0,0.0
2040-05-13,0.02163473,0.026083294,0.0004259288,0.014450324
2040-05-14,0.008826279,0.038936414,0.00082419417,0.00014008067
2040-05-15,0.0059308307,0.028124759,0.56102026,0.01064213
2040-05-16,0.0,0.003696241,0.31222183,8.004611e-05
2040-05-17,0.0078110113,0.018188477,0.10510693,0.0050308984
2040-05-18,0.0,0.00044130025,0.0335386,0.0
2040-05-19,1.7863948e-05,0.0,0.0030866663,0.0
2040-05-20,0.0044421684,0.0,0.008654038,2.0011528e-05
2040-05-21,0.0014648438,0.012211047,0.44072214,0.00038422132
2040-05-22,0.006073742,0.016599154,0.07532594,0.011490619
2040-05-23,0.0,0.0014013993,0.01211482,0.0
2040-05-24,0.00067883,0.0024735301,0.013993078,0.00016809683
2040-05-25,0.0,0.0,0.0009607548,0.0
2040-05-26,0.0,0.0,0.0,0.0
2040-05-27,0.0,0.0,0.0,0.0
2040-05-28,0.0092892535,0.0,0.00054141256,0.0
2040-05-29,0.0,0.0,0.0094266385,0.0
2040-05-30,0.09479504,0.023342734,0.43785983,0.03248671
2040-05-31,0.0015660728,0.0,0.09248166,0.002097208
2040-06-01,0.0,0.0,0.0019375369,0.0
2040-06-02,0.0,0.00043728476,0.07265182,0.0
2040-06-03,0.0,0.0,0.00094011705,0.0
2040-06-04,0.0,0.0,0.0,0.0
2040-06-05,0.0,0.0,0.0,0.0
2040-06-06,0.002429497,0.0,0.0006634829,0.0
2040-06-07,0.219472,0.10829685,0.0049335286,0.0006543769
2040-06-08,0.07373791,0.0018872713,0.0,0.0
2040-06-09,0.0054604136,9.998522e-05,0.0,0.0
2040-06-10,0.0,0.0,0.0,0.0
2040-06-11,0.027727826,0.007887187,0.0038946138,0.017842278
2040-06-12,0.5159272,0.25635248,1.1477554,0.4630327
2040-06-13,0.22639726,0.028914602,4.398012,0.0041603963
2040-06-14,0.264839,0.6174192,0.7524269,0.13082735
2040-06-15,0.056966644,0.4748013,0.30121684,0.054747533
2040-06-16,1.2145088,1.7509537,0.038646672,0.7406146
2040-06-17,0.07795827,0.07027355,0.030325033,0.007900551
2040-06-18,0.0040848893,0.00026020253,0.011037044,0.0
2040-06-19,0.11140256,0.03875572,0.09722132,0.015733061
2040-06-20,0.106790684,0.03897135,0.48620123,0.00064837345
2040-06-21,0.00038109755,0.0287845,0.056006122,0.00015008645
2040-06-22,0.0,0.019201178,0.027196871,0.0025354605
2040-06-23,0.03226229,0.048064783,0.14100966,0.051589716
2040-06-24,0.0,0.0049069053,0.16142283,1.2006916e-05
2040-06-25,0.015949529,0.011299535,0.010688837,0.005743308
2040-06-26,0.0716776,0.20456094,0.17596392,0.20628682
2040-06-27,2.6312077,0.41655612,0.6271138,0.8346908
2040-06-28,1.0843372,0.42713967,0.5367241,0.52889967
2040-06-29,0.0005120998,0.18048377,0.86239314,0.028505418
2040-06-30,0.0002530726,0.5471131,0.2936254,0.027339747
2040-07-01,0.010179473,0.79497164,1.2598454,0.075965755
2040-07-02,0.0,0.3699658,0.5407625,0.0
2040-07-03,0.0,0.057507165,0.090335764,0.0
2040-07-04,0.0009438119,0.0,0.0010461601,0.0
2040-07-05,0.05624464,0.002063149,0.0,0.009133261
2040-07-06,0.19976956,0.019809121,1.8442277e-05,0.030837763
2040-07-07,0.06995522,0.008250588,0.021290073,0.026175076
2040-07-08,0.0032765458,0.005000466,0.0,0.014960618
2040-07-09,0.0018131908,0.0021045082,0.0,0.00087250257
2040-07-10,0.49360174,0.07394329,0.0066543687,0.064449124
2040-07-11,0.21012618,0.38730702,0.3906364,0.08453469
2040-07-12,0.14001912,0.027458994,0.000564685,0.009005187
2040-07-13,0.042196136,0.00016102038,0.0,0.0026275134
2040-07-14,0.08564423,0.03868665,0.0,0.03423972
2040-07-15,0.6533992,0.28816423,4.3910188e-07,0.8421221
2040-07-16,0.7572349,0.023858722,0.0,0.046692897
2040-07-17,0.016896317,0.008398759,0.0,0.016001217
2040-07-18,0.040923327,0.0007822137,3.0737126e-06,0.001638944
2040-07-19,0.31813458,0.0620065,0.006857673,0.0022573003
2040-07-20,1.1646118,0.28944436,7.047585e-05,0.29466772
2040-07-21,0.01142995,0.00029393248,0.0005229703,8.404841e-05
2040-07-22,0.0,0.0,4.3910188e-07,0.0
2040-07-23,0.005484232,0.0,0.0,0.0
2040-07-24,0.114496,0.25975838,0.005273394,0.1348857
2040-07-25,0.16986233,0.32496202,0.0051625203,0.35222888
2040-07-26,1.2421279,0.020989267,0.0,0.32001233
2040-07-27,0.059332125,0.002862629,0.00037565164,0.021872599
2040-07-28,0.0018131905,0.0028887298,0.020125574,0.0
2040-07-29,0.0,0.0014861258,0.07117336,0.0
2040-07-30,2.0841273e-05,0.00056859065,0.0044344896,0.0
2040-07-31,0.0,0.0,0.0,0.0
2040-08-01,0.0,0.0,0.0,0.0
2040-08-02,0.0,0.0,0.0,0.0
2040-08-03,0.0,0.0,0.0,0.0
2040-08-04,0.0,0.0,0.0,0.0
2040-08-05,0.0011537133,0.00070110115,0.0,0.0
2040-08-06,0.05994099,0.00071274606,0.0,0.0
2040-08-07,0.011700886,0.010969865,0.0,0.0020391745
2040-08-08,0.010201803,0.013042651,0.0,0.018428614
2040-08-09,0.026389517,0.080156825,0.0,0.06765097
2040-08-10,0.057453435,0.002755416,2.6346113e-06,0.009621542
2040-08-11,1.5179905,1.0386453,0.23764104,0.5705466
2040-08-12,0.06145496,0.13719378,0.06139039,0.031866357
2040-08-13,0.0,0.0,0.0002472143,0.0
2040-08-14,0.0,0.0,0.00019496122,0.0
2040-08-15,0.0,0.0,9.001587e-06,0.0
2040-08-16,0.0,0.0,0.0,0.0
2040-08-17,0.0,0.0,0.0,0.0
2040-08-18,0.5606943,2.2563279,2.108797,0.6773331
2040-08-19,0.4324445,0.40297538,0.69689083,0.66967976
2040-08-20,0.07006241,0.0,2.4589703e-05,0.0
2040-08-21,0.18802103,0.14278492,0.0,0.23109911
2040-08-22,0.41390768,0.8731111,0.0013107191,0.73462915
2040-08-23,0.41713956,0.4430743,0.024894878,0.07110496
2040-08-24,0.0,0.0015122263,0.005674733,0.0
2040-08-25,1.7863948e-05,0.0,0.052070893,0.0
2040-08-26,0.08490288,0.008771394,0.008371257,0.0
2040-08-27,0.023176985,0.031534698,0.013592398,0.0014888576
2040-08-28,0.014247987,0.09752013,0.22735332,0.043985337
2040-08-29,0.014242033,0.11040176,0.4446084,0.023155337
2040-08-30,0.0,0.00012688889,0.09935645,0.0
2040-08-31,0.5103879,2.1111896,1.9059323,2.9458148
2040-09-01,2.6273046,1.4618088,2.1794608,2.161503
2040-09-02,0.00085895817,0.0008922376,0.05694646,0.00037021324
2040-09-03,0.058742616,0.009539955,0.0002445797,0.061590478
2040-09-04,0.0,0.0,0.000115044684,0.0
2040-09-05,0.0,0.0,0.0015153404,0.0
2040-09-06,0.0,0.0,0.00078621187,0.0
2040-09-07,0.0012266578,0.0014632376,0.025723025,0.0
2040-09-08,0.0018518959,3.3729953e-05,4.303198e-05,4.002305e-06
2040-09-09,0.0,0.0,0.0,0.0
2040-09-10,0.0,0.0,0.0022664242,0.0
2040-09-11,0.0,0.0,0.0042252573,0.0
2040-09-12,0.0074835056,0.0027136551,0.0016143579,0.005152968
2040-09-13,0.0,0.0,0.00024919029,0.0
2040-09-14,0.0,0.0,0.021445954,0.0
2040-09-15,4.912585e-05,0.0,0.021530041,0.0
2040-09-16,0.00086342415,0.03298067,0.0073771304,0.011794793
2040-09-17,0.0,0.0,0.0029591073,0.0
2040-09-18,0.4148649,0.7104938,2.2973313,0.7694152
2040-09-19,3.6271927,5.8271394,5.652596,5.4828763
2040-09-20,0.0,0.03597862,0.9267273,0.00064837345
2040-09-21,0.0023773937,0.0,2.1955093e-05,0.00076844264
2040-09-22,0.0,0.0,0.0,0.0
2040-09-23,0.0,0.0,0.0,0.0
2040-09-24,0.0113153225,0.0038701107,8.7820376e-07,0.008388832
2040-09-25,0.05043737,0.0073515237,0.00065162714,0.026993548
2040-09-26,0.013314596,0.0,0.0,0.0
2040-09-27,0.0,0.0075964676,0.3250109,0.0
2040-09-28,0.0,0.0,0.053144716,0.0
2040-09-29,0.0,0.0,6.586528e-05,0.0
2040-09-30,0.0,0.0012391743,0.22983074,0.0
2040-10-01,0.031602815,0.18133545,0.33358172,0.109220915
2040-10-02,0.031797826,0.05208708,0.00036533267,0.10810827
2040-10-03,0.0,0.0,0.0,0.0
2040-10-04,0.00011611566,0.0,0.0,0.0
2040-10-05,2.9475992,0.05637962,0.0,1.3895484
2040-10-06,2.7784975,0.36730474,0.0009234312,1.5249734
2040-10-07,0.029664574,0.020420676,0.01579098,4.4025357e-05
2040-10-08,0.0,0.0,0.00029771109,0.0
2040-10-09,0.0,0.0,0.0,0.0
2040-10-10,0.0,0.0,0.0,0.0
2040-10-11,0.0,0.0,0.0,0.0
2040-10-12,0.0,0.0,4.500794e-05,0.0
2040-10-13,0.0,0.0,0.0015924028,0.0
2040-10-14,0.03891661,0.004779615,0.0037472951,0.035858653
2040-10-15,0.0048887674,0.0003011603,0.0,0.0
2040-10-16,0.0,0.0,0.0010373781,0.0
2040-10-17,0.0,0.0,0.020138089,0.0
2040-10-18,0.0,0.061966747,1.713831,0.0
2040-10-19,0.00020245808,0.5455591,1.8747569,0.30931017
2040-10-20,0.9568511,3.0128639,5.9292264,0.4284348
2040-10-21,0.13607863,1.3323476,0.14804648,0.82088286
2040-10-22,0.0,0.0,0.0,0.0
2040-10-23,0.0,0.0,0.0,0.0
2040-10-24,0.0,0.0,0.0,0.0
2040-10-25,0.0,0.0,0.0,0.0
2040-10-26,0.0,0.0,0.0,0.0
2040-10-27,0.0,0.0,0.0,0.0
2040-10-28,0.0,0.0,0.0,0.0
2040-10-29,0.0,0.0,3.6884554e-05,0.0
2040-10-30,3.8705217e-05,0.0,1.9979134e-05,0.0
2040-10-31,0.0,0.0,0.0,0.0
2040-11-01,0.0,0.0,0.0,0.0
2040-11-02,0.0,0.0,0.0,0.0
2040-11-03,0.0,3.6139234e-06,0.0,0.0
2040-11-04,0.0,0.0,0.0,0.0
2040-11-05,0.0,0.0,0.0,0.0
2040-11-06,0.0,0.0,0.0,0.0
2040-11-07,0.0,0.0,0.0,0.0
2040-11-08,0.0,0.0,0.0,0.0
2040-11-09,0.0,0.0,0.0,0.0
2040-11-10,0.0,0.0,0.0,0.0
2040-11-11,0.0007086033,0.0,0.0,0.0
2040-11-12,0.1931331,4.4973272e-05,0.0,0.001114642
2040-11-13,0.0005299638,0.0,0.0,0.0
2040-11-14,0.0,0.0,0.0,0.0
2040-11-15,0.0,0.0,0.0,0.0
2040-11-16,0.0,0.0,0.0,0.0
2040-11-17,0.00016077554,3.332841e-05,0.0,0.0
2040-11-18,0.0022687213,0.0010773508,0.00020681697,0.00021212218
2040-11-19,0.055405036,0.009949935,0.0,0.00018410604
2040-11-20,0.00020841273,0.0,0.0,0.0
2040-11-21,12.591096,6.8547783,0.9556081,11.9175625
2040-11-22,26.446518,37.780624,18.66304,37.46478
2040-11-23,40.948933,22.848194,8.641985,30.673733
2040-11-24,6.118127,2.5290813,1.8299552,5.9923916
2040-11-25,17.422985,23.710762,23.172068,29.652235
2040-11-26,97.97137,59.81033,33.56736,104.30241
2040-11-27,0.6437646,0.86599207,0.30781326,1.7178575
2040-11-28,1.7248282,1.1039851,0.293477,1.3888099
