,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,MED_swe,SDF_swe,STL_swe,SNM_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe
2039-10-13,24.900457,64.53870400000001,23.07355,37.511086,44.507206,22.875973000000002,27.773375,18.035145,15.358642999999999,17.7691,149.7585,31.908527000000003,0.02538088,0.03520925,0.15730384,0.01544005,288.97842,289.39398,289.14412999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-14,19.578259,58.067863,17.505934,31.047397999999998,35.566463,21.226337,23.819445,17.549791,9.67234,15.698125,139.96204,26.380875,0.00015272746000000002,0.00028233779999999997,0.010212298,6.253601999999999e-07,288.48096,289.4089,289.56808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-15,16.55118,53.934740000000005,14.804820000000001,25.637710000000002,30.455465000000004,20.292816000000002,21.486021,17.234087,7.081835000000001,14.444453,133.33228,23.234825,0.0,0.0,0.0,0.0,291.46106000000003,293.16562000000005,293.34112999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-16,14.632082,51.102264,13.293477,24.820362,30.875519,19.655403,19.893915,17.001832999999998,5.6454554,13.579079,128.55855,21.377695000000003,0.0,4.642888e-06,0.0,0.0,291.91925,295.15662000000003,295.84802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-17,13.3062725,49.03624,12.819324,23.688309,29.739041999999998,19.232279000000002,18.85877,16.827656,5.057478400000001,12.9924345,125.16948000000001,20.13908,0.0,0.0,0.0005835183,0.0,290.3492,292.64758,293.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-18,12.424278,47.597725,12.127967,22.070469,26.0541,18.923717,18.089062,16.697360999999997,4.5254874,12.569092999999999,128.52866,19.5341,0.47999027,0.96668553,4.395462,1.5616173,286.92132999999995,289.8147,290.31714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-19,68.407104,86.07068000000001,11.501307,20.575514000000002,23.832895,22.52957,17.962042,29.402039000000002,4.0676403,30.593994,333.35614,64.38504,22.310892000000003,18.036234,26.27082,27.470594000000002,285.47958,288.9478,288.82482999999996,0.00034352732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009349245
2039-10-20,139.11258,188.13031,14.375620999999999,20.667572,28.899038,33.95599,31.369390000000003,25.394547,5.9520054,47.93841,278.49768,206.39792,19.883942,13.472067000000001,1.9944612000000002,29.337378,283.19812,285.55225,286.8437,0.016499324,0.0008866857400000001,0.05995629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-21,59.125457999999995,94.92876,13.391566000000001,19.47697,26.499706,25.158222,27.086702000000002,21.328743,5.6498775000000006,22.917332000000002,191.82538,60.621193000000005,0.0035661372999999997,0.004209945,0.07013283,0.0006116022699999999,283.65027000000003,285.5428,285.47333,0.66418797,0.61406153,0.08352935,3.1064677000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.573824,22.141464000000003,0.0,0.0,0.0,0.0,0.0
2039-10-22,80.569664,133.67248999999998,12.826995,19.109904999999998,30.216396000000003,23.631159,25.785475,22.427301,4.9763107,24.169819,258.11914,85.79466,16.198126000000002,12.542465,12.328896,20.005266,282.63248,286.1309,286.97702000000004,0.55277264,0.53497314,0.066948704,3.0879412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.516038,26.318785,0.0,0.0,0.0,0.0,0.0
2039-10-23,69.92278,115.62574,12.990195,18.820072,33.964622,23.709497,26.55892,21.715841,4.515114,23.613482,223.90222000000003,72.9084,1.4058887,2.3990574000000002,5.500121,3.2085795,281.84222,284.25546,284.72046,0.96605515,0.22116807,0.14027457,4.162474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7798142,40.457733000000005,0.0,0.0,0.0,0.0,0.0
2039-10-24,245.40287999999998,213.41647000000003,12.697913,18.960186,43.31362,35.791534000000006,33.93158,45.289417,4.32771,54.964428000000005,322.10553,208.77731,29.91935,13.699129999999998,10.2293625,25.336685,283.84912,287.56237999999996,288.43298,1.1451249,0.21390757,0.1527039,4.490846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.380182700000001,42.064728,0.0,0.0,0.0,0.0,0.0
2039-10-25,111.97285,122.90571000000001,12.348714,18.258762,34.46006,31.089521,35.407715,33.456177000000004,4.3914860000000004,43.459270000000004,225.5699,91.13553,0.17816399,0.05664872,0.6805319000000001,0.0072073387,283.1868,286.56613,286.86346000000003,0.30806458,0.0,0.13489284,1.6371638000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.580935999999998,0.0,0.0,0.0,0.0,0.0
2039-10-26,134.50308,120.35803,11.714004,17.818682,30.922388,26.092175,29.02307,28.844725,4.1038013,38.186325,223.68877,129.56851,16.6928,9.611725999999999,7.6969943,18.481485,286.09726,289.764,290.50412,0.07277660000000001,0.0,0.12235731,0.8953979999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.962007999999999,0.0,0.0,0.0,0.0,0.0
2039-10-27,121.99991000000001,135.70282,11.182451,17.371666,27.324147999999997,24.544943,25.69085,26.524502000000002,3.7294728999999998,33.211259999999996,225.78839,111.67081,2.8840818,2.0072527,0.99456084,3.6545803999999995,281.98514,284.81912,286.69153,0.0,0.0,0.056440199999999996,0.018038338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-28,109.42532,121.79315,12.501083,17.047613000000002,28.263918,26.63212,26.7534,27.830574,3.6775239,37.257397,212.8902,102.803696,9.859005999999999,5.7929889999999995,3.6296883,11.05306,281.4054,284.67107999999996,285.50183,0.0,0.0,0.07282387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-29,86.137085,105.11209,12.612366999999999,16.787159,27.680646999999997,25.316162,26.686144,25.672434,3.7443437999999993,32.68975,193.09271,79.4621,0.04838785,0.110846855,0.20402077,0.12262013,283.76074,286.65036000000003,286.29712,0.076486334,0.0,0.12408077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-30,59.170563,86.74486,11.808327,16.522259,25.588635999999997,23.75058,24.318176,23.19061,3.578126,27.383315999999997,174.85966000000002,56.811580000000006,0.0,4.3015730000000004e-05,0.009253714,0.0,288.94794,289.50597999999997,287.7362,0.0,0.0,0.073827595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-10-31,46.197390000000006,76.28296,11.180982,16.251175,23.788279,22.423489,22.348882999999997,21.633963,3.3381453000000003,23.130557999999997,163.56366,46.36114,0.0,0.0,0.0,0.0,292.06924,292.75833,291.7558,0.0,0.0,0.012389291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-01,38.900406,69.705864,10.705989,15.994828,22.385592000000003,21.479925,20.883368,20.583132,3.1094642000000006,20.475435,154.38299999999998,40.61676,0.0,0.00037740407,0.0035963538,0.0,290.3202,292.31897000000004,291.93295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-02,34.09169,65.20375,10.360261,15.76595,21.320992999999998,20.815592000000002,19.790663000000002,19.842533,2.933846,18.717113,148.93643,36.86842,0.0,0.0,0.00029019144,0.0,289.66348,292.44473,292.02414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-03,30.300812,61.665337,10.086339,15.563479999999998,20.459467,20.303766,18.920254,19.266884,2.797714,17.376236,144.0063,33.885887,0.0,0.0,0.0,0.0,291.27762,292.5641,291.64867999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-04,27.544386,59.06505,9.857422,15.3856535,19.757479999999997,19.887058,18.229446,18.807156,2.6801043,16.329235,139.84163999999998,31.814315999999998,0.06023779,0.14059924,0.112288415,0.13843836,288.25597999999997,290.76052999999996,291.29785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-05,26.261602000000003,57.322968,9.686354,15.226876999999998,19.192976,19.577528,17.682055,18.472366,2.5877905,15.567575,137.49237,30.970209999999998,0.45500797,0.15761960000000003,0.25965822,0.41861963,285.5318,287.81802000000005,288.0506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-06,25.311127,55.991375,9.56228,15.086948999999999,18.746016,19.351171,17.24717,18.228416,2.518214,15.009663,136.1684,30.33397,0.0,0.00042779822,0.13440813,0.0,286.6293,289.1811,288.94727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-07,120.49987,214.7751,9.454556,14.964664,18.412737,22.205451999999998,17.688157999999998,26.809936999999998,2.4592197000000002,25.377144,449.07727,146.28636,28.333809999999996,25.88734,28.354643,37.074295,285.54156,288.0393,288.62335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039-11-08,2297.6836,1576.6449,153.27461,148.7402,545.5488,446.34295999999995,530.0883,620.91583,39.523556,925.7194,1168.1487,1577.101,148.27905,87.11484,43.748127000000004,136.1861,285.23935,287.7581,288.8261,0.12664433,1.4516948e-05,0.00012710682,7.6612836e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9389407999999997
2039-11-09,650.7526,620.56,145.279,188.32942,290.73717999999997,177.34998000000002,257.22882000000004,212.63907999999998,67.61533,323.606,607.3619,425.4562,18.643087,9.848252,6.320985299999999,17.602915,279.5998,282.20867999999996,283.0171,1.379825,0.39576396,0.54400986,0.78804225,0.003696869,0.0800413,0.0,0.0,0.0,0.0,0.0,0.0,0.004499313,0.7780263000000001,11.353164999999999,0.024583487,0.21878116,0.0,0.0,28.917828000000004
2039-11-10,290.62573,286.7859,35.699670000000005,64.05788000000001,85.33468,73.0597,91.71358000000001,84.67974,17.21398,125.79841,389.00018,199.44829,14.460607000000001,9.095908,10.383505,11.661361999999999,282.19275,284.15198,284.31476000000004,4.6689734000000005,1.5248594,1.6596432,4.765655000000001,6.051189,0.0010531802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.058811,31.10673,0.0,9.7780485,0.0,0.0,40.077286
2039-11-11,775.8573,671.3766,27.256702,44.639908,74.50622,56.74239300000001,68.93600500000001,79.05667,11.431883000000001,97.00836,873.8739,735.51117,37.150290000000005,34.635784,33.982502000000004,53.90878299999999,283.76412999999997,286.27972,287.11157000000003,6.213678400000001,1.289915,1.8287077,4.135866,5.8098335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.900248,35.86616,0.0,19.522694,0.0,0.0,49.895412
2039-11-12,1139.3947,1557.1948,23.716217,37.967842,62.67126999999999,87.7403,88.3477,155.78041000000002,9.538902,194.98074,1625.9270000000001,1138.4268,59.05743399999999,52.86393,33.202477,67.153915,281.3889,285.23107999999996,286.06198,2.784765,0.4526307,0.7205291,1.4327922,0.0,0.0,0.0,0.0013172417999999999,0.0,0.0,0.0,0.0,0.0,0.59201485,20.501749,0.0,8.987872,0.0,0.0,44.0435
2039-11-13,333.3169,396.99127000000004,23.61712,34.57159,59.75914399999999,62.031387,75.18326,78.32064,9.250817,109.33738000000001,496.9065,294.7783,0.09462161,0.0014833149,0.0099856425,0.04498341,281.33386,283.6728,283.30773999999997,14.812335999999998,2.873813,2.9083753,9.218487,4.4296050000000005,4.927654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.069275,61.763923999999996,0.0,47.325109999999995,0.0,0.0,96.37521
2039-11-14,218.23134,260.28238,20.257483999999998,31.428936,53.973305,46.25346,57.854866,54.391569999999994,7.862612700000001,74.48387,388.28533999999996,204.85324,0.092948355,0.55725026,1.8546300999999998,0.6836868,283.58203,286.27927,286.59854,17.370867,3.4394410000000004,3.0474202999999997,11.221275,4.6819763,4.939564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.312134,64.75790400000001,7.978952400000001,53.376762,7.3645687,7.3645687,99.925354
2039-11-15,232.26972999999998,254.77681,18.058157,29.986403999999997,44.134388,45.188614,59.58265,51.369713,6.6323004,64.06505600000001,720.0182,214.33118,14.832057999999998,11.025449,20.861645000000003,13.714054,280.96862999999996,284.2984,284.81946,16.665106,2.648272,2.1182307999999996,10.476136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.142223,64.715034,5.52111,51.773705,4.4970093,4.4970093,100.16078
