datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
1998-08-11,4471.74295355664,12.002542253261382,12.002542253261382,6.077380962938801,4552.0,6.077380962938802,0.0,195.07950066872033,974.4707634245758,3.3640665948400574,3.3640665948400574,1.732453691614251,975.0,1.732453691614251,0.0,84.49771060818112,3376.8982589059065,13.472862598561417,13.472862598561417,13.472862598561417,3537.0,13.472862598561417,0.0,93.35146440650277,34.78021789154167,13.001705531522468,8.528925605472,13.249586754547199,75.82738194637244,9.329179895287753,13.472862598561417
1998-08-12,4472.612431920643,7.272491912996196,7.272491912996196,1.4002338484800667,4552.0,1.4002338484800665,0.0,190.88550415588773,974.754049587191,4.254510361744215,3.1893575019932903,2.6519297165829245,975.0,0.3990274569184155,1.065152859750924,82.60914326844804,3375.851928959813,7.647649229374706,7.647649229374706,7.647649229374706,3537.0,7.647649229374706,0.0,91.27181758688577,33.68262267477402,12.918796465052875,8.528925605472,12.234900604249141,76.14162972574388,2.1493197675184983,7.647649229374706
1998-08-13,4467.2066033452975,14.405602356683143,14.405602356683143,8.586247517973465,4552.0,8.586247517973465,0.0,187.24194479677163,973.4477398368496,4.0183104868286135,4.0183104868286135,2.4447620997318396,975.0,2.444762099731839,0.0,80.35028689346377,3364.354698079573,16.719981925373887,16.719981925373887,16.719981925373887,3537.0,16.719981925373887,0.0,89.26031258499037,36.70041301561167,15.34160895555787,8.109217305506602,13.249586754547199,76.44272516431799,13.17757149719867,16.719981925373887
1998-08-14,4463.35192780004,13.319806945266473,13.319806945266473,7.553355332363248,4552.0,5.269586741167793,0.0,183.87917698260154,974.5352962740199,3.6149338323036884,3.6149338323036884,2.0704177032714304,975.0,1.4994755554725665,0.0,78.67711402090416,3351.4630089549282,16.440362952442804,16.440362952442804,16.440362952442804,3537.0,15.488792706111363,0.0,87.40429522091331,30.191739286911723,12.148008585418491,4.794143946946031,13.249586754547199,76.61625750972263,8.086458981932308,15.488792706111363
1998-08-15,4459.77722578355,13.628229467561258,13.628229467561258,7.914681080464485,4552.0,5.269127365911333,0.0,179.77896986105543,974.5364434171848,3.6769220741491715,3.6769220741491715,2.1614382031814294,975.0,1.5000497745431414,0.0,76.5193438172494,3339.2684990007324,16.640324398284523,16.640324398284523,16.640324398284523,3537.0,15.538010350554044,0.0,85.4312652132485,30.241071775168518,12.21017600802858,4.7813090125927395,13.249586754547199,76.93097654835884,8.086458981932308,15.538010350554044
1998-08-16,4455.97738313011,11.823697963968316,11.823697963968316,6.163052802677994,4552.0,5.26930073806737,0.0,175.87755218199234,974.748099173978,3.5130534852152024,3.2097226884039785,2.0266018723119767,975.0,1.4998330593480966,0.303330796811224,74.53627389079345,3326.3428033292594,15.959624688584483,15.959624688584483,15.959624688584483,3537.0,15.587227994996724,0.0,83.53249915819323,30.593576873383412,12.351926240752668,4.992063878083545,13.249586754547199,77.22508960755046,8.086458981932308,15.587227994996724
1998-08-17,4449.9789753604855,11.604048770101926,11.604048770101926,5.996306834618055,4552.0,5.269166339974792,0.0,172.3362261844428,974.6899294045787,3.139205535463345,3.139205535463345,1.681786180624635,975.0,1.5000010569638194,0.0,72.86920600497068,3316.4203978525716,15.939420845540763,15.939420845540763,15.939420845540763,3537.0,15.636445639439403,0.0,81.82649372846642,30.339497320538012,12.334448002573431,4.755462563417382,13.249586754547199,77.49557246643519,8.086458981932308,15.636445639439403
1998-08-18,4446.708634909715,12.781448191129853,12.781448191129853,7.226609481452433,4552.0,5.268923534335954,0.0,169.11999743812706,974.8166339056314,3.418113147565679,3.418113147565679,1.9897260507914856,975.0,1.500304564012366,0.0,71.21899654166837,3303.5043663397128,16.501365761847282,16.501365761847282,16.501365761847282,3537.0,15.685663283882084,0.0,79.90661626681909,30.3887756663904,12.396601212802363,4.74258769904084,13.249586754547199,77.75209323014326,8.086458981932308,15.685663283882084
1998-08-19,4442.267489402652,12.392165769167985,12.392165769167985,6.890230285297017,4552.0,6.890230285297016,0.0,165.4326836675678,974.8393388432457,3.822842786916465,3.361061560593737,2.4234879482067875,975.0,1.9617067218840596,0.4617812263227279,69.3007131880533,3292.649388709819,14.885497585826323,14.885497585826323,14.885497585826323,3537.0,14.885497585826323,0.0,77.96493823141715,36.22500092304565,14.446488563026449,8.528925605472,13.249586754547199,77.99125936158174,10.574494578505329,14.885497585826323
1998-08-20,4440.529222948719,11.548781921777321,11.548781921777321,6.099749663712805,4552.0,5.269071979161255,0.0,161.7573022816025,974.8115702482512,3.138591454100934,3.078111009763789,1.7682688734557728,975.0,1.50011900798074,0.060480444337144945,67.39771925219556,3280.663156783158,16.130214274663924,16.130214274663924,16.130214274663924,3537.0,15.784098572767444,0.0,76.0120657775279,30.547654288406584,12.536742139966975,4.7613253938924105,13.249586754547199,78.1184458301929,8.086458981932308,15.784098572767444
