,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,MED_swe,SDF_swe,SLT_swe,SNM_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe
1994-10-01,22.136394500732425,52.71934127807617,9.87900447845459,15.720497131347654,17.135078430175778,22.83953094482422,15.665290832519533,23.745391845703125,2.51175594329834,21.60604476928711,189.3594970703125,19.93665313720703,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-02,12.695219039916992,53.55778884887695,9.430254936218262,15.714345932006836,16.037408828735348,19.04680633544922,14.476102828979492,17.770320892333984,2.1905171871185303,11.551046371459961,164.68475341796875,18.91372299194336,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-03,11.548831939697266,51.43146896362305,9.419463157653807,15.670869827270508,16.046539306640625,19.0288200378418,14.516117095947266,17.62664031982422,2.17783784866333,11.472071647644045,149.158447265625,18.15304183959961,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-04,10.781217575073242,49.751060485839844,9.417332649230957,15.638715744018555,16.065555572509766,18.988832473754886,14.536575317382812,17.528884887695312,2.1769559383392334,11.36897087097168,141.64697265625,17.613231658935547,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-05,10.322482109069824,48.89042663574219,9.409114837646484,15.61231803894043,16.04215431213379,18.95362091064453,14.48529052734375,17.465152740478516,2.1738629341125493,11.288437843322756,140.85617065429688,17.344633102416992,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-06,9.998642921447754,48.23149108886719,9.403582572937012,15.589899063110352,16.036380767822266,18.92557144165039,14.45842742919922,17.416326522827152,2.1707181930541988,11.223011016845703,138.03610229492188,17.174409866333008,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-07,9.703536987304688,47.51799774169922,9.397774696350098,15.569957733154295,16.028797149658207,18.901124954223636,14.427145004272461,17.375484466552734,2.1673057079315186,11.16515064239502,136.27903747558594,16.95297622680664,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-08,9.459527969360352,47.45648574829102,9.391718864440918,15.551559448242188,16.019817352294922,18.878719329833984,14.394794464111328,17.339923858642578,2.163537740707397,11.112201690673828,139.18991088867188,16.978580474853516,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-09,10.282896041870117,49.49281692504883,9.38614559173584,15.534643173217773,16.01161003112793,18.857463836669922,14.362340927124025,17.308586120605472,2.1599016189575195,11.064268112182617,146.31207275390625,23.772912979125977,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-10,22.470626831054688,114.12654113769531,9.381973266601562,15.52019500732422,16.00710678100586,18.851736068725586,14.347658157348633,17.369155883789062,2.161709308624268,11.090299606323242,220.99993896484372,44.00609588623047,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-11,22.376440048217773,105.99138641357422,9.377775192260742,15.50808334350586,15.997090339660645,18.828474044799805,14.322023391723633,17.29434585571289,2.1553449630737305,11.008768081665039,181.5196533203125,45.244789123535156,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-12,18.362831115722656,76.88118743896484,9.374093055725098,15.495895385742188,15.991013526916506,18.8173828125,14.305126190185547,17.286197662353516,2.152559995651245,10.987845420837402,160.06082153320312,31.60758399963379,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-13,15.67257308959961,66.27602386474611,9.370539665222168,15.484474182128904,15.984773635864258,18.80655288696289,14.286069869995115,17.272132873535153,2.1503643989562993,10.965208053588867,149.26675415039062,26.34412956237793,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-14,13.914920806884766,60.42748260498047,9.367268562316896,15.47425651550293,15.978781700134276,18.79656410217285,14.266937255859375,17.256969451904293,2.1484730243682857,10.943531036376953,142.78468322753906,23.43709373474121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-15,12.56435775756836,56.538475036621094,9.363937377929688,15.464418411254885,15.972658157348633,18.786771774291992,14.246767044067385,17.240875244140625,2.146567344665528,10.92147159576416,137.92440795898438,21.45563507080078,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-16,11.705333709716795,53.92849349975586,9.366850852966307,15.48676872253418,16.035079956054688,18.880878448486328,14.362434387207033,17.29030990600586,2.148446798324585,11.151485443115234,134.27616882324222,20.29138946533203,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-17,11.573957443237305,52.23063659667969,11.026698112487793,17.37657356262207,20.823322296142575,19.328289031982425,17.682872772216797,17.481918334960938,2.8411133289337163,12.05925464630127,131.60542297363278,19.667072296142575,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-18,159.27867126464844,136.71760559082028,15.941119194030762,18.00882911682129,67.76486968994139,38.25331115722656,112.44758605957031,26.42208480834961,3.8265476226806636,35.98534393310547,241.04736328125,112.66529083251952,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-19,102.0430679321289,112.57303619384766,14.138786315917967,16.661491394042972,58.38324737548828,32.6083984375,82.86358642578125,27.715110778808594,2.6417043209075928,35.57633972167969,283.94635009765625,62.68852996826172,,,,,,,,,,,,,,,,,,,,,,,,,,,
