,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf
2089-11-09,71.69029,94.97984,9.245959,13.724595,26.344313,25.904816,29.069582,26.119179,3.6655736,33.37132,162.98227,64.41757
2089-11-10,68.215775,91.112785,8.582928,12.631056,25.477297,24.62476,27.100231,25.648083,3.2780967,31.046787,159.71811,62.076416
2089-11-11,66.02077,88.3414,8.070787,12.045728,24.659903,23.718723,25.651077,25.081379,2.9724236,29.302525,158.0726,60.611694
2089-11-12,64.08843,86.44934,7.686477,11.912769,23.855188,23.089188,24.805311,23.972221,2.7407742,28.799618,152.88596,59.46608
2089-11-13,62.98046,84.98022,7.4233975,12.624745,23.314041,22.924377,25.358805,23.138687,2.5672984,29.611687,151.99422,58.828796
2089-11-14,60.8697,83.13869,7.2548795,13.892555,23.672638,22.81647,26.750631,22.661934,2.4231172,32.30792,149.41656,57.3919
2089-11-15,58.28625,80.99805,7.146705,13.86064,23.838312,21.615187,27.407791,22.05158,2.2943044,33.483627,157.77045,55.27646
2089-11-16,55.934338,79.26455,7.111736,13.185795,25.249727,20.963406,28.683043,21.264692,2.1704178,36.02753,152.96684,53.795753
2089-11-17,54.218616,77.931496,6.781564,11.477964,27.605307,20.626553,29.732344,20.621593,2.0472867,34.885406,150.17905,52.454514
2089-11-18,51.813965,76.19768,6.4505258,10.295784,28.668667,20.488823,29.594229,20.094942,1.9398265,34.01741,147.59814,50.526054
2089-11-19,49.841084,74.861626,6.2532,9.653178,27.450344,20.40929,30.182137,19.671398,1.8520904,32.27038,145.71213,49.252403
2089-11-20,48.72338,73.824554,6.1048284,9.218341,24.18414,20.133038,29.574753,19.358936,1.7772844,28.25254,144.10843,48.494766
2089-11-21,47.391075,74.61496,5.977913,8.895738,21.193964,19.810324,28.442207,19.049412,1.7120547,24.330685,144.78177,48.585876
2089-11-22,46.649734,74.42643,5.8770285,8.64263,18.654833,19.632196,26.179,18.81756,1.6589359,22.345375,144.18343,47.983955
2089-11-23,45.645306,73.270805,5.7946935,8.431118,17.309505,19.494442,24.935102,18.646288,1.6071159,20.860563,143.1157,46.62301
2089-11-24,44.733517,71.94809,5.72473,8.253866,16.394457,19.35036,23.378786,18.623758,1.5742512,20.130127,141.75111,45.500916
2089-11-25,43.61977,70.67316,5.669851,8.10784,15.786189,19.232664,21.193756,18.617981,1.5397978,20.165758,140.141,44.22164
2089-11-26,41.7558,69.05878,5.626898,7.992214,15.330003,19.088089,19.347294,18.570498,1.5196098,19.65483,138.56909,42.610405
2089-11-27,40.83724,68.19728,5.575043,7.876443,14.940768,18.292467,18.263727,18.478102,1.4865705,19.11398,137.47559,41.962875
2089-11-28,40.386425,67.699265,5.534406,8.067393,14.86044,17.83632,17.786444,18.346231,1.457226,18.523582,136.79099,41.79666
2089-11-29,39.402283,66.93994,5.52761,8.261543,14.809699,17.58441,17.455414,18.206802,1.4438603,18.094852,136.02763,40.805298
2089-11-30,38.561993,66.38918,5.493338,7.9715424,14.649595,17.36863,16.902369,18.09763,1.4243503,17.66053,135.36377,40.27388
2089-12-01,38.18341,66.1516,5.4575806,7.915049,14.380561,17.178356,16.417606,18.004648,1.3941382,17.328495,134.84656,40.01089
2089-12-02,37.923855,66.02756,5.4283457,7.842006,14.094489,16.974236,15.969771,17.903833,1.3801162,16.973354,134.83769,39.89533
2089-12-03,37.483627,65.72965,5.3897395,7.757185,13.848407,16.82063,15.607928,17.822126,1.3620186,16.754673,135.25623,39.484024
2089-12-04,36.713097,65.337006,5.3439183,7.672452,13.619794,16.695068,15.298791,17.747324,1.3380175,16.458376,134.8184,38.951004
2089-12-05,35.810577,64.665115,5.332935,7.592756,13.430314,16.522326,15.00938,17.641094,1.3206508,16.179813,134.27176,38.17886
2089-12-06,34.616768,63.93534,5.291578,7.5278854,13.252888,16.389809,14.742181,17.542475,1.3047644,15.916961,133.58163,37.274994
2089-12-07,33.875023,63.56701,5.2609925,7.4618926,13.061984,16.22963,14.512287,17.408678,1.2881762,15.634466,133.09167,36.735268
2089-12-08,33.42718,63.304,5.240638,7.4052296,12.924556,16.10792,14.342765,17.322695,1.2788427,15.423952,132.72581,36.47663
2089-12-09,33.509483,63.18548,5.227732,7.3477964,12.798189,16.062452,14.192854,17.282978,1.2830755,15.32763,132.53703,36.47325
2089-12-10,34.67539,62.92582,5.252947,7.581668,12.802059,16.830334,14.30589,17.49923,1.3092966,15.997969,132.14233,36.53365
2089-12-11,33.842285,62.190933,5.4663615,7.4728165,13.268957,16.97549,14.908466,17.67621,1.3676853,16.615389,131.55768,35.76293
2089-12-12,32.721535,61.36962,5.756474,7.3665814,13.25283,16.909464,14.957572,17.70845,1.3247521,16.751316,131.05063,34.972336
2089-12-13,30.953949,60.648888,5.4538364,7.370191,13.296769,16.675114,14.863887,17.532803,1.3211504,16.482824,130.67166,33.805435
2089-12-14,29.491722,59.99342,5.435208,7.3613935,13.470698,16.537624,14.708016,17.394688,1.316011,16.20214,130.35454,32.912415
2089-12-15,28.181675,59.461258,5.397947,7.32847,13.233838,16.386839,14.520751,17.1932,1.2984807,15.858894,130.0674,32.050415
2089-12-16,27.493938,59.024208,5.3570952,7.292463,13.06012,16.20744,14.326398,17.063929,1.2778153,15.550859,129.73734,31.682825
2089-12-17,27.066322,58.627254,5.3260884,7.2503176,12.929021,16.03899,14.150334,16.9323,1.2704976,15.220886,129.40186,31.539568
2089-12-18,27.010654,58.42488,5.2906785,7.2136884,12.837247,15.937468,14.011468,16.848915,1.2572458,15.014448,129.21112,31.424696
2089-12-19,27.022917,58.359108,5.2663674,7.1864204,12.712037,15.850912,13.901283,16.822714,1.2464553,14.845436,129.25195,31.398394
2089-12-20,26.542744,58.127678,5.2468777,7.1574163,12.661374,15.792303,13.832935,16.790743,1.2458277,14.804964,129.23312,30.932611
2089-12-21,25.806723,57.76455,5.2329197,7.1359234,12.622348,15.762432,13.748822,16.730688,1.2348977,14.774221,129.02106,30.439894
2089-12-22,25.568586,57.74664,5.2292056,7.1135864,12.55347,15.669916,13.677385,16.734829,1.2219958,14.646233,128.8691,30.426783
2089-12-23,25.7973,57.947716,5.2185464,7.091764,12.506249,15.564813,13.603683,16.74298,1.2154297,14.584297,128.82056,30.544111
2089-12-24,25.817144,57.960464,5.2065516,7.075177,12.483081,15.479995,13.58613,16.730116,1.2132152,14.505364,128.76173,30.65082
2089-12-25,25.432209,57.90583,5.1830034,7.06444,12.450557,15.418161,13.557356,16.756706,1.2131557,14.522926,128.69464,30.368858
2089-12-26,24.989456,57.78823,5.170072,7.052045,12.442194,15.414082,13.50847,16.765,1.2074362,14.481945,128.57263,29.94154
2089-12-27,24.638853,57.6317,5.163094,7.040307,12.425361,15.398063,13.483894,16.764706,1.2034658,14.409005,128.42769,29.732534
2089-12-28,24.529348,57.526207,5.1541724,7.025355,12.390325,15.39043,13.446007,16.754036,1.191159,14.339073,128.38849,29.609882
2089-12-29,24.386265,57.509613,5.1400843,7.006088,12.394337,15.463162,13.647182,16.753506,1.1779943,14.688079,130.59782,29.497337
2089-12-30,24.527874,57.622368,5.1403265,7.044516,12.604283,15.497958,13.990357,16.76985,1.1797917,14.825787,131.9857,29.543907
2089-12-31,40.32756,61.4877,5.5833087,7.02023,14.24625,20.531767,16.341728,20.315557,1.5640728,21.497261,138.33318,36.71691
