Timestep       Daily        Weekly       Monthly      Water Year   
DEL_HRO_pump   0.345        0.399        0.489        0.799        
DEL_TRP_pump   0.336        0.392        0.473        0.786        
None           0.509        0.565        0.658        0.874        
SHA_storage    0.827        0.827        0.827        0.794        
SHA_out        0.651        0.742        0.796        0.933        
FOL_storage    0.732        0.732        0.736        0.720        
FOL_out        0.699        0.759        0.821        0.977        
ORO_storage    0.887        0.888        0.889        0.908        
ORO_out        0.577        0.676        0.702        0.937        
DEL_in         0.950        0.959        0.971        0.997        
DEL_out        0.945        0.956        0.970        0.992        
