datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump
1996-10-01,3089.0409999999997,0.0,0.0,0.0,0.0,0.0,0.0,723.947,0.0,0.0,0.0,0.0,0.0,0.0,2735.5190000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-10-02,3086.9541179535213,11.10702252560172,11.10702252560172,7.1128289772146225,4508.666666666667,7.112828977214623,0.0,723.7022766596996,3.0995332489279566,3.0995332489279566,2.2227590553795693,960.4,2.2227590553795693,0.0,2730.2130541260644,9.519061567547611,9.519061567547611,9.519061567547611,3487.133333333333,9.519061567547611,0.0,30.243079333029804,11.833583775162786,8.528925605472,9.880569952395017
1996-10-03,3082.90350290791,12.697846434450527,12.697846434450527,8.730104498966657,4487.0,8.730104498966657,0.0,721.6386471208142,3.5991253978625637,3.5991253978625637,2.7281576559270797,953.1,2.7281576559270797,0.0,2720.929417039575,11.488166008174796,11.488166008174796,11.488166008174796,3462.2,11.488166008174796,0.0,31.348411619993968,11.973810158865284,8.528925605472,10.845675855656683
1996-10-04,3081.721623519094,11.637011606505984,11.637011606505984,7.695721283925339,4465.333333333333,7.695721283925339,0.0,720.486324986439,3.2700741915492486,3.2700741915492486,2.404912901226668,945.8,2.404912901226668,0.0,2715.5809520426046,10.06736581369684,10.06736581369684,10.06736581369684,3437.266666666667,10.06736581369684,0.0,30.480066097185805,11.972763936936481,8.528925605472,9.978376554777324
1996-10-05,3076.384269485712,11.99187467827531,11.99187467827531,8.077035968597892,4443.666666666667,8.077035968597892,0.0,719.4538137536019,3.3834285788965186,3.3834285788965186,2.524073740186841,938.5,2.524073740186841,0.0,2710.2106775801426,10.456406684194006,10.456406684194006,10.456406684194006,3412.3333333333335,10.456406684194006,0.0,30.665450261096503,11.961361402247,8.528925605472,10.175163253377502
1996-10-06,3075.340627330499,9.678609083209093,9.678609083209093,5.790221986434899,4422.0,5.790221986434899,0.0,718.6137218132791,2.6629927578576797,2.6629927578576797,1.8094443707609056,931.2,1.8094443707609056,0.0,2708.318809793783,7.434487611293458,7.434487611293458,7.434487611293458,3387.4,7.434487611293458,0.0,28.86489774685118,11.22387122495192,8.528925605472,9.112100916427261
1996-10-07,3071.14602255129,12.37077005314031,12.37077005314031,8.508834569269343,4400.333333333333,8.508834569269343,0.0,717.5638698928375,3.5067527383805404,3.5067527383805404,2.6590108028966695,923.9,2.6590108028966695,0.0,2700.256853461754,10.811551362963495,10.811551362963495,10.811551362963495,3362.4666666666667,10.811551362963495,0.0,30.78997523268919,11.940976472724078,8.528925605472,10.320073154493112
1996-10-08,3066.356050440562,12.585459698572262,12.585459698572262,8.74997582760452,4378.666666666667,8.749975827604521,0.0,715.8435752190193,3.57630292999738,3.57630292999738,2.7343674461264125,916.6,2.7343674461264125,0.0,2695.292509786297,11.021393250927083,11.021393250927083,11.021393250927083,3337.5333333333333,11.021393250927083,0.0,30.871025766769215,11.930599354434637,8.528925605472,10.411500806862577
1996-10-09,3061.6410516217566,11.620759136200096,11.620759136200096,7.81172687813558,4357.0,7.8117268781355795,0.0,716.0123972317633,3.277293681675433,3.277293681675433,2.4411646494173684,909.3,2.4411646494173684,0.0,2689.218373173672,9.723491975504729,9.723491975504729,9.723491975504729,3312.6,9.723491975504729,0.0,30.07423472572232,11.928849877580134,8.528925605472,9.616459242670185
1996-10-10,3061.0475091176227,9.650542491605135,9.650542491605135,5.867961846443845,4335.333333333333,5.175333748436678,0.0,715.5227497881035,2.620771401533415,2.620771401533415,1.7904488208882536,902.0,1.6172917963864617,0.0,2684.91100369908,9.428311613841975,9.428311613841975,9.428311613841975,3287.6666666666665,9.139716573005655,0.0,23.866226401988794,8.353179240696077,6.47815432742108,9.034892833871636
1996-10-11,3060.8117818625865,9.652652862124887,9.652652862124887,5.8965238298668226,4313.666666666667,5.175333748436678,0.0,714.6641980519497,2.622105445776256,2.622105445776256,1.7975893167439978,894.7,1.6172917963864617,0.0,2680.3194248839327,9.341777151382857,9.341777151382857,9.341777151382857,3262.7333333333336,9.041281284120297,0.0,23.767791113103435,8.3187268895862,6.503993590753488,8.945070632763747
1996-10-12,3056.3967322900426,12.201991708965402,12.201991708965402,8.472314289610562,4292.0,8.472314289610564,0.0,713.5170554386168,3.466307892922656,3.466307892922656,2.647598215503301,887.4,2.647598215503301,0.0,2675.3016303729532,10.272687061018372,10.272687061018372,10.272687061018372,3237.8,10.272687061018372,0.0,30.270616080107274,11.898178192132528,8.528925605472,9.843512282502745
1996-10-13,3049.5907382720993,12.282952683293882,12.282952683293882,8.579726876842269,4270.333333333333,8.579726876842269,0.0,711.8300536702172,3.4940678748196605,3.4940678748196605,2.681164649013209,880.1,2.681164649013209,0.0,2668.468474583924,10.311569000128088,10.311569000128088,10.311569000128088,3212.866666666667,10.311569000128088,0.0,30.252129932854608,11.888779344661536,8.528925605472,9.834424982721071
