,SHA_slope,SHA_intercept,SHA_mean,SHA_std,ORO_slope,ORO_intercept,ORO_mean,ORO_std,FOL_slope,FOL_intercept,FOL_mean,FOL_std
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02859371622627689,5.700889435199543,5.812671017366126,2.042010943144105,0.5686585864848431,3.9831711392443325,4.300653735378715,2.1942945386876502,0.511104728394722,2.4404858982526907,2.7850727225826653,1.715341175464082
2,0.0285492600117791,5.694759662624257,5.806367451851357,2.0421913630261885,0.5684335898582168,3.9811808636839134,4.298537844000932,2.1938579995233933,0.5107733932286982,2.4397720431902576,2.7841354813406385,1.7151493410862457
3,0.028581908885976393,5.688317789711155,5.800053213373207,2.0420582375152487,0.5680934382979699,3.9789388461683477,4.2961059195658295,2.193826987949547,0.5107274501601188,2.439154489308929,2.783486952640995,1.7150603660930326
4,0.0284937425669175,5.681798515500339,5.793189270055367,2.0422423619141408,0.5677990006804744,3.9766659228105676,4.293668611423536,2.1937515343199605,0.51058318217291,2.4384359291889526,2.7826711270393996,1.7149313992858783
5,0.028335805491864284,5.675604039017079,5.786377369240394,2.0424380438708023,0.5673942305705264,3.9746564399759823,4.2914331450754695,2.1939001007762333,0.510230991646346,2.4376396435537706,2.7816373945398762,1.7148130908255443
6,0.02820917895580871,5.6688421069325505,5.779120415297477,2.0418283849693606,0.567003115520421,3.972661057240081,4.2892194024581825,2.1936005296096046,0.5099984136957735,2.4367571340736816,2.7805980809980273,1.7147133583327743
7,0.028110120885200863,5.662809048272691,5.772700108342527,2.041923652207353,0.5671417276856869,3.970601332285558,4.287237064799182,2.1935201670243982,0.5095850912044805,2.436081881455446,2.779644166342861,1.7144969062186275
8,0.028029950019681043,5.656558399324309,5.76613604696043,2.040941179234803,0.5665536264383411,3.9686950534475605,4.2850024485101486,2.193343424221353,0.5097172673107427,2.4352988688443724,2.7789502668668837,1.7145666145247918
9,0.02787719680660006,5.650234944434212,5.759215433040562,2.040384976946244,0.5666610633572797,3.9663077985965196,4.282675175786794,2.192820777358431,0.5093588488860953,2.4344541312459764,2.7778638835550575,1.7143961621655255
10,0.02789467948118768,5.64347370676143,5.752522540489848,2.0397074147028538,0.5665439439851938,3.963539750795954,4.279841740136312,2.1927085554247667,0.5090779715529676,2.433452680179651,2.7766730649816984,1.7143922484525456
11,0.027803109498762985,5.637198198959981,5.745889057620264,2.0397267512576773,0.5663825496619342,3.961199255269555,4.277411138015258,2.1927188033619127,0.5092857957056856,2.4323042770553385,2.7756647769078353,1.7147079691057991
12,0.02769024442375777,5.630770190484129,5.739019825046235,2.039255081201585,0.5663233552011557,3.958842693204229,4.275021527629671,2.192761524013032,0.5092744223427249,2.431200150409817,2.774552982340641,1.7148077352155764
13,0.027689012968116492,5.623672761421499,5.731917581846861,2.039090682827561,0.5666090087624114,3.955832303480041,4.272170618543563,2.1924219454013922,0.5092256845981347,2.430341297475849,2.773661270417704,1.7148904439934476
14,0.027702101597229575,5.6148778867799525,5.723173874659697,2.0381892731338467,0.5668739158323147,3.9530886087006207,4.269574821617592,2.1921077560737725,0.509130624889458,2.4295476299472782,2.772803513630482,1.7144913041843675
15,0.02760218849824731,5.6074229994974765,5.715328396514702,2.0375423082334407,0.5671787602930419,3.9503206805947038,4.266977088446051,2.1912887796827976,0.5090018224231276,2.428761552400957,2.7719305974572173,1.713980782301568
16,0.027509674424855638,5.6001896712219335,5.70773340243068,2.0368330167317987,0.567472379036998,3.9477336124962283,4.264553947954265,2.1905157011617997,0.5092766519609747,2.426999740141233,2.770354075280752,1.711251365264812
17,0.027449965112786655,5.592878441485789,5.700188750731461,2.035845308271396,0.5669353277014261,3.9450567309133677,4.261577230131651,2.1897620429497633,0.5096014104372656,2.4248622182273527,2.768435505542037,1.7078275554453528
18,0.02738671789421854,5.586089661161441,5.693152717685458,2.035709462156376,0.5671204046972952,3.9424041696801626,4.259027997550347,2.1894937748261545,0.5095024869118323,2.423870499025141,2.7673770920957956,1.706748206824165
19,0.027351821371259633,5.5784605097467175,5.685387145089327,2.035621964833655,0.5671199886559103,3.939410116247196,4.256033711841105,2.1890950246090815,0.5096041526702721,2.422962470951796,2.766537607080062,1.7063422256987264
20,0.027330106573467,5.571322259049094,5.678164004605623,2.035443709018804,0.5677848021669049,3.9360559986820918,4.253050760252266,2.1887705545716356,0.5095287874859263,2.4222248940141866,2.7657492189327417,1.7059680581932637
21,0.027257960045447772,5.564831598244693,5.671391300957052,2.0354236614069743,0.5675938508637776,3.9334194192482244,4.250307572535516,2.188587041224216,0.5094465209521271,2.421705679979172,2.765174540797992,1.7057514665554125
22,0.027145596979645796,5.558131119587635,5.664251560709334,2.0348758878056192,0.567783829699432,3.930663153190879,4.247657371831596,2.1889571029212633,0.509430612989112,2.421070478328964,2.7645286139986074,1.7055214220911201
23,0.02707144864150434,5.550249559562162,5.656080132151668,2.0338817776900435,0.5676063539813455,3.9278315178586465,4.244726651647629,2.1885977721977405,0.5094545110452072,2.420378490620402,2.7638527383602343,1.705175526310132
24,0.02699625702764645,5.542878524300688,5.648415149874136,2.0325893301035673,0.5665104213376351,3.924139812513173,4.2404230861294945,2.186321986753205,0.5098703886177042,2.417834826927448,2.7615894593400387,1.7029646577669257
25,0.026975238220760787,5.535775049810084,5.641229506438777,2.0317055572157634,0.566359506433183,3.920361966910636,4.2365609846011685,2.1836800236061227,0.5100309543695851,2.4156095628701904,2.7594724487178657,1.7009396677987327
