         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16788    0.011    0.000    0.019    0.000 series.py:320(name)
       96    0.011    0.000    0.036    0.000 arrayprint.py:535(_formatArray)
      536    0.011    0.000    0.011    0.000 {built-in method numpy.core.multiarray.concatenate}
    17641    0.011    0.000    0.020    0.000 internals.py:4194(dtype)
    79210    0.011    0.000    0.011    0.000 {method 'read' of '_io.StringIO' objects}
       58    0.011    0.000    0.022    0.000 internals.py:4530(_merge_blocks)
     8236    0.011    0.000    0.048    0.000 base.py:2435(get_loc)
     5985    0.011    0.000    0.011    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
    15379    0.010    0.000    0.017    0.000 series.py:324(name)
     7553    0.010    0.000    0.010    0.000 {method 'splitlines' of 'str' objects}
 1151/914    0.010    0.000    0.047    0.000 base.py:152(__new__)
65060/64991    0.010    0.000    0.011    0.000 {built-in method builtins.issubclass}
     8920    0.010    0.000    0.014    0.000 config.py:546(_get_root)
     5314    0.010    0.000    0.047    0.000 datetimelike.py:597(_convert_scalar_indexer)
     2325    0.009    0.000    0.024    0.000 nanops.py:152(_has_infs)
     1109    0.009    0.000    0.020    0.000 twodim_base.py:437(vander)
      483    0.009    0.000    0.011    0.000 sre_compile.py:250(_optimize_charset)
     5218    0.009    0.000    0.009    0.000 {pandas._libs.lib.infer_dtype}
    17641    0.009    0.000    0.029    0.000 series.py:331(dtype)
     2287    0.009    0.000    0.056    0.000 series.py:2894(_sanitize_array)
     1096    0.009    0.000    0.183    0.000 ops.py:809(wrapper)
     9612    0.009    0.000    0.011    0.000 internals.py:222(mgr_locs)
  693/173    0.009    0.000    0.025    0.000 sre_parse.py:470(_parse)
    17811    0.009    0.000    0.009    0.000 config.py:561(_get_deprecated_option)
     2355    0.009    0.000    0.023    0.000 version.py:198(__init__)
23617/19751    0.009    0.000    0.013    0.000 base.py:528(__len__)
     8900    0.008    0.000    0.057    0.000 config.py:96(_get_option)
     5410    0.008    0.000    0.032    0.000 numeric.py:134(_convert_scalar_indexer)
