         5404811 function calls (5345084 primitive calls) in 5.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.000    0.000 config.py:794(inner)
        4    0.000    0.000    0.000    0.000 base.py:3847(_add_numeric_methods_binary)
      105    0.000    0.000    0.000    0.000 ops.py:613(_align_method_SERIES)
       30    0.000    0.000    0.000    0.000 ops.py:648(_arith_method_SERIES)
       89    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:3506(parseImpl)
      357    0.000    0.000    0.000    0.000 indexing.py:243(_has_valid_setitem_indexer)
       17    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
      215    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:205(_BaseSelectorImpl)
        1    0.000    0.000    0.001    0.001 distance.py:73(<module>)
        2    0.000    0.000    0.248    0.124 api.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:80(__new__)
      148    0.000    0.000    0.000    0.000 concat.py:137(<genexpr>)
       10    0.000    0.000    0.002    0.000 groupby.py:2542(_make_labels)
       30    0.000    0.000    0.000    0.000 pyparsing.py:2701(__str__)
        1    0.000    0.000    0.035    0.035 _converter.py:1(<module>)
       56    0.000    0.000    0.000    0.000 config.py:770(_addoption_instance)
      186    0.000    0.000    0.000    0.000 pluggy.py:710(is_historic)
       27    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        6    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
       32    0.000    0.000    0.000    0.000 fromnumeric.py:826(argsort)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
        5    0.000    0.000    0.000    0.000 function_base.py:1848(diff)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
      218    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1877(IPv6Address)
      105    0.000    0.000    0.000    0.000 inference.py:313(is_dict_like)
        1    0.000    0.000    0.000    0.000 expressions.py:7(<module>)
       13    0.000    0.000    0.000    0.000 range.py:125(_simple_new)
        1    0.000    0.000    0.000    0.000 datetimes.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3158(StringStart)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.004    0.004 logistic.py:3(<module>)
       32    0.000    0.000    0.000    0.000 shape_base.py:237(<listcomp>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.017    0.017 basic.py:5(<module>)
        1    0.000    0.000    0.105    0.105 distributions.py:8(<module>)
        1    0.000    0.000    0.004    0.004 Image.py:27(<module>)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.generate_bins_dt64}
      159    0.000    0.000    0.000    0.000 internals.py:295(shape)
        1    0.000    0.000    0.000    0.000 {pandas._libs.groupby.group_nth_float64}
        1    0.000    0.000    0.000    0.000 {pandas._libs.groupby.group_nth_int64}
        3    0.000    0.000    0.029    0.010 resample.py:1122(_get_time_bins)
        2    0.000    0.000    0.002    0.001 code.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       18    0.000    0.000    0.000    0.000 _decorators.py:19(deprecate_kwarg)
      106    0.000    0.000    0.000    0.000 frame.py:372(<genexpr>)
        2    0.000    0.000    0.001    0.001 frame.py:2853(reset_index)
       39    0.000    0.000    0.000    0.000 internals.py:160(get_values)
       25    0.000    0.000    0.000    0.000 rcsetup.py:62(<dictcomp>)
       56    0.000    0.000    0.001    0.000 rcsetup.py:74(f)
       58    0.000    0.000    0.000    0.000 colors.py:119(to_rgba)
      137    0.000    0.000    0.000    0.000 expr.py:145(<lambda>)
        1    0.000    0.000    0.006    0.006 config.py:1(<module>)
       34    0.000    0.000    0.000    0.000 {built-in method gc.get_referents}
        6    0.000    0.000    0.002    0.000 warnings.py:20(_showwarnmsg_impl)
        5    0.000    0.000    0.000    0.000 numeric.py:2463(isclose)
       10    0.000    0.000    0.000    0.000 getlimits.py:71(<lambda>)
        4    0.000    0.000    0.000    0.000 function_base.py:4894(insert)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:228(<module>)
      217    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       75    0.000    0.000    0.000    0.000 __init__.py:255(set_function_name)
       31    0.000    0.000    0.000    0.000 version.py:302(__init__)
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
        1    0.000    0.000    0.000    0.000 cpuinfo.py:336(IRIXCPUInfo)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3251(<listcomp>)
      291    0.000    0.000    0.000    0.000 __init__.py:781(<genexpr>)
        3    0.000    0.000    0.031    0.010 resample.py:683(_downsample)
      254    0.000    0.000    0.000    0.000 config.py:686(names)
        1    0.000    0.000    0.037    0.037 __init__.py:6(<module>)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:1973(all)
        5    0.000    0.000    0.000    0.000 tokenize.py:355(detect_encoding)
       26    0.000    0.000    0.000    0.000 core.py:6498(getdoc)
       11    0.000    0.000    0.000    0.000 decorator.py:151(update)
        1    0.000    0.000    0.003    0.003 morestats.py:1(<module>)
       23    0.000    0.000    0.001    0.000 groupby.py:542(__getattr__)
       13    0.000    0.000    0.003    0.000 groupby.py:1690(groupby)
        1    0.000    0.000    0.001    0.001 multi.py:3(<module>)
        1    0.000    0.000    0.001    0.001 indexing.py:622(_align_series)
        1    0.000    0.000    0.000    0.000 window.py:1321(Expanding)
        1    0.000    0.000    0.000    0.000 {pandas._libs.groupby.group_add_float64}
        1    0.000    0.000    0.003    0.003 packers.py:39(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:653(<listcomp>)
        1    0.000    0.000    0.016    0.016 interpolate.py:2(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1883(__init__)
       46    0.000    0.000    0.001    0.000 config.py:720(inner)
        3    0.000    0.000    0.000    0.000 {pandas._libs.algos.pad_2d_inplace_float64}
        1    0.000    0.000    0.000    0.000 categorical.py:170(Categorical)
        1    0.000    0.000    0.000    0.000 category.py:30(CategoricalIndex)
        3    0.000    0.000    0.741    0.247 frame.py:1323(to_csv)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:3412(__str__)
        1    0.000    0.000    0.001    0.001 resample.py:1(<module>)
       75    0.000    0.000    0.000    0.000 concat.py:242(<listcomp>)
        1    0.000    0.000    0.010    0.010 utils.py:4(<module>)
       43    0.000    0.000    0.000    0.000 core.py:143(get_object_signature)
      4/2    0.000    0.000    0.000    0.000 compressed.py:25(__init__)
      216    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
      191    0.000    0.000    0.000    0.000 _decorators.py:129(__init__)
        1    0.000    0.000    0.005    0.005 nanops.py:1(<module>)
        2    0.000    0.000    0.000    0.000 multi.py:1551(droplevel)
        1    0.000    0.000    0.000    0.000 indexing.py:3(<module>)
       23    0.000    0.000    0.000    0.000 internals.py:2864(_is_single_block)
        1    0.000    0.000    0.008    0.008 format.py:5(<module>)
      168    0.000    0.000    0.000    0.000 pyparsing.py:3248(<genexpr>)
        1    0.000    0.000    0.000    0.000 debugging.py:65(PdbInvoke)
       98    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       32    0.000    0.000    0.000    0.000 posixpath.py:166(islink)
       39    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 numeric.py:1343(roll)
        1    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       11    0.000    0.000    0.001    0.000 decorator.py:201(create)
       12    0.000    0.000    0.000    0.000 {method 'to_array' of 'pandas._libs.hashtable.Int64Vector' objects}
       99    0.000    0.000    0.000    0.000 base.py:1055(_get_names)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2020(setWhitespaceChars)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        6    0.000    0.000    0.004    0.001 frame.py:1983(_getitem_array)
        4    0.000    0.000    0.001    0.000 internals.py:957(_interpolate_with_fill)
        1    0.000    0.000    0.000    0.000 __init__.py:772(RcParams)
      137    0.000    0.000    0.000    0.000 pyparsing.py:2039(setWhitespaceChars)
       53    0.000    0.000    0.000    0.000 pyparsing.py:3559(<genexpr>)
     18/4    0.000    0.000    0.001    0.000 pyparsing.py:3715(parseImpl)
        1    0.000    0.000    0.001    0.001 excel.py:3(<module>)
        9    0.000    0.000    0.000    0.000 enum.py:765(_create_pseudo_member_)
        2    0.000    0.000    0.004    0.002 main.py:1(<module>)
      144    0.000    0.000    0.000    0.000 shape_base.py:897(<genexpr>)
        2    0.000    0.000    0.017    0.009 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        3    0.000    0.000    0.000    0.000 groupby.py:2339(group_info)
        1    0.000    0.000    0.000    0.000 interval.py:95(IntervalIndex)
        1    0.000    0.000    0.008    0.008 timedeltas.py:1(<module>)
      210    0.000    0.000    0.000    0.000 generic.py:999(to_dense)
      105    0.000    0.000    0.000    0.000 internals.py:125(is_view)
       32    0.000    0.000    0.000    0.000 internals.py:5031(combine_concat_plans)
        1    0.000    0.000    0.000    0.000 window.py:1057(Rolling)
       45    0.000    0.000    0.000    0.000 resample.py:197(__setattr__)
        1    0.000    0.000    0.001    0.001 _split.py:4(<module>)
        1    0.000    0.000    0.006    0.006 _validation.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:409(_init)
        1    0.000    0.000    0.001    0.001 optimize.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5276(rv_histogram)
        4    0.000    0.000    0.000    0.000 missing.py:413(interpolate_2d)
     10/2    0.000    0.000    0.001    0.000 pyparsing.py:3356(parseImpl)
        1    0.000    0.000    0.000    0.000 period.py:125(PeriodIndex)
       86    0.000    0.000    0.000    0.000 pyparsing.py:3417(<genexpr>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4759(<genexpr>)
        1    0.000    0.000    0.000    0.000 parsers.py:1302(_maybe_dedup_names)
        1    0.000    0.000    0.120    0.120 parsers.py:1746(read)
       50    0.000    0.000    0.000    0.000 pluggy.py:687(__init__)
      143    0.000    0.000    0.000    0.000 pluggy.py:696(has_spec)
        1    0.000    0.000    0.000    0.000 pydoc.py:366(Doc)
        1    0.000    0.000    0.005    0.005 parallel.py:3(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.001    0.001 _search.py:4(<module>)
       87    0.000    0.000    0.000    0.000 six.py:105(__init__)
       61    0.000    0.000    0.000    0.000 pyparsing.py:388(__getitem__)
        8    0.000    0.000    0.000    0.000 pyparsing.py:397(__setitem__)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       90    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       37    0.000    0.000    0.000    0.000 os.py:794(fsencode)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.010    0.010 __init__.py:109(<module>)
       16    0.000    0.000    0.000    0.000 common.py:1375(is_numeric_dtype)
      188    0.000    0.000    0.000    0.000 {built-in method pandas._libs.algos.ensure_object}
       10    0.000    0.000    0.015    0.002 groupby.py:2979(_wrap_applied_output)
      131    0.000    0.000    0.000    0.000 offsets.py:202(<genexpr>)
        6    0.000    0.000    0.000    0.000 offsets.py:311(_params)
        1    0.000    0.000    0.001    0.001 period.py:2(<module>)
        8    0.000    0.000    0.000    0.000 generic.py:6402(_make_logical_function)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3981(parseImpl)
        1    0.000    0.000    0.001    0.001 stata.py:11(<module>)
       67    0.000    0.000    0.000    0.000 six.py:110(__init__)
        1    0.000    0.000    0.000    0.000 scorer.py:14(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:357(<listcomp>)
        1    0.000    0.000    0.016    0.016 orthogonal.py:72(<module>)
        2    0.000    0.000    0.039    0.019 __init__.py:52(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:220(<module>)
       11    0.000    0.000    0.000    0.000 sputils.py:119(get_index_dtype)
      182    0.000    0.000    0.000    0.000 __init__.py:237(strlen)
       34    0.000    0.000    0.000    0.000 base.py:208(_create_delegator_method)
       11    0.000    0.000    0.000    0.000 nanops.py:44(__init__)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4524(_escapeRegexRangeChars)
        6    0.000    0.000    0.004    0.001 datetimelike.py:315(inferred_freq)
        4    0.000    0.000    0.000    0.000 internals.py:1098(eval)
      124    0.000    0.000    0.000    0.000 pyparsing.py:2131(__str__)
       28    0.000    0.000    0.000    0.000 pyparsing.py:2720(__str__)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4853(_makeTags)
        1    0.000    0.000    0.001    0.001 panel.py:108(Panel)
        1    0.000    0.000    0.000    0.000 pydoc.py:1669(Helper)
        1    0.000    0.000    0.010    0.010 least_angle.py:4(<module>)
        2    0.000    0.000    0.225    0.112 __init__.py:2(<module>)
      157    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
      122    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
      180    0.000    0.000    0.000    0.000 enum.py:592(name)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
       53    0.000    0.000    0.000    0.000 fromnumeric.py:357(repeat)
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        7    0.000    0.000    0.000    0.000 _strptime.py:250(pattern)
       18    0.000    0.000    0.000    0.000 core.py:1021(__init__)
        1    0.000    0.000    0.025    0.025 __init__.py:43(<module>)
        1    0.000    0.000    0.005    0.005 context.py:1(<module>)
       99    0.000    0.000    0.000    0.000 common.py:406(is_null_slice)
        1    0.000    0.000    0.009    0.009 categorical.py:3(<module>)
       18    0.000    0.000    0.000    0.000 _decorators.py:64(_deprecate_kwarg)
        1    0.000    0.000    0.001    0.001 groupby.py:2806(SeriesGroupBy)
       12    0.000    0.000    0.000    0.000 base.py:1184(is_monotonic)
        4    0.000    0.000    0.001    0.000 generic.py:2517(_reindex_axes)
        2    0.000    0.000    0.000    0.000 rcsetup.py:793(validate_cycler)
       58    0.000    0.000    0.002    0.000 pyparsing.py:3270(<listcomp>)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3370(<genexpr>)
        1    0.000    0.000    0.001    0.001 colors.py:45(<module>)
        1    0.000    0.000    0.000    0.000 merge.py:3(<module>)
        1    0.000    0.000    0.009    0.009 randomized_l1.py:4(<module>)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
      114    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
     39/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        3    0.000    0.000    0.006    0.002 __init__.py:8(<module>)
        1    0.000    0.000    0.024    0.024 __init__.py:26(<module>)
        7    0.000    0.000    0.000    0.000 parser.py:298(_convert)
        1    0.000    0.000    0.003    0.003 packager.py:9(<module>)
        1    0.000    0.000    0.000    0.000 expressions.py:390(ExpressionNode)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3956(__init__)
        1    0.000    0.000    0.001    0.001 array.py:3(<module>)
        3    0.000    0.000    0.741    0.247 format.py:1569(save)
        4    0.000    0.000    0.000    0.000 _apipkg.py:150(AliasModule)
       27    0.000    0.000    0.000    0.000 deprecation.py:197(finalize)
        1    0.000    0.000    0.002    0.002 panel.py:3(<module>)
        1    0.000    0.000    0.001    0.001 pydoc.py:36(<module>)
       90    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.001    0.001 nonlin.py:106(<module>)
       52    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
       31    0.000    0.000    0.000    0.000 {method 'add' of 'pandas._libs.lib.BlockPlacement' objects}
       10    0.000    0.000    0.000    0.000 config.py:388(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:5(<module>)
        1    0.000    0.000    0.003    0.003 cast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:781(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 function.py:19(<module>)
      109    0.000    0.000    0.000    0.000 missing.py:583(fill_zeros)
       10    0.000    0.000    0.001    0.000 groupby.py:4424(_get_sorted_data)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2666(parseImpl)
       13    0.000    0.000    0.000    0.000 range.py:45(__new__)
        6    0.000    0.000    0.004    0.001 frequencies.py:749(infer_freq)
        1    0.000    0.000    0.000    0.000 offsets.py:2807(Day)
       12    0.000    0.000    0.000    0.000 generic.py:6347(_make_stat_function_ddof)
        2    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
        1    0.000    0.000    0.000    0.000 internals.py:1068(shift)
        9    0.000    0.000    0.003    0.000 internals.py:2840(rename_axis)
       12    0.000    0.000    0.001    0.000 rcsetup.py:445(validate_font_properties)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1545(resetCache)
        1    0.000    0.000    0.001    0.001 ops.py:2(<module>)
        1    0.000    0.000    0.005    0.005 reshape.py:3(<module>)
        1    0.000    0.000    0.048    0.048 pytest.py:4(<module>)
        1    0.000    0.000    0.006    0.006 memory.py:5(<module>)
        1    0.000    0.000    0.001    0.001 pool.py:11(<module>)
        1    0.000    0.000    0.001    0.001 ridge.py:3(<module>)
      190    0.000    0.000    0.000    0.000 pyparsing.py:180(<genexpr>)
        2    0.000    0.000    0.016    0.008 __init__.py:45(<module>)
    12/11    0.000    0.000    0.021    0.002 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:135(__new__)
       13    0.000    0.000    0.000    0.000 __init__.py:117(lrange)
        1    0.000    0.000    0.000    0.000 printing.py:12(adjoin)
       12    0.000    0.000    0.000    0.000 algorithms.py:132(_reconstruct_data)
       19    0.000    0.000    0.000    0.000 common.py:241(_count_not_none)
       97    0.000    0.000    0.000    0.000 common.py:412(is_full_slice)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.backfill_2d_inplace_float64}
        1    0.000    0.000    0.000    0.000 base.py:3702(_add_comparison_methods)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2772(parseImpl)
        1    0.000    0.000    0.003    0.003 window.py:7(<module>)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2634(<genexpr>)
    33/10    0.000    0.000    0.003    0.000 pyparsing.py:3721(leaveWhitespace)
      138    0.000    0.000    0.000    0.000 expr.py:147(<genexpr>)
       20    0.000    0.000    0.000    0.000 config.py:500(getgroup)
        1    0.000    0.000    0.001    0.001 rewrite.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fixtures.py:1(<module>)
        1    0.000    0.000    0.001    0.001 coordinate_descent.py:8(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _operator.mul}
       71    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
      112    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
       68    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
        2    0.000    0.000    0.000    0.000 base.py:634(_try_convert_to_int_index)
        7    0.000    0.000    0.002    0.000 ops.py:170(add_special_arithmetic_methods)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4834(_makeTags)
        1    0.000    0.000    0.000    0.000 interval.py:1(<module>)
       27    0.000    0.000    0.001    0.000 offsets.py:51(apply_wraps)
       23    0.000    0.000    0.000    0.000 generic.py:159(_init_mgr)
        2    0.000    0.000    0.000    0.000 __init__.py:919(_open_file_or_url)
       70    0.000    0.000    0.001    0.000 colors.py:104(is_color_like)
        1    0.000    0.000    0.001    0.001 panelnd.py:8(create_nd_panel_factory)
       23    0.000    0.000    0.000    0.000 config.py:766(_addoption)
        1    0.000    0.000    0.000    0.000 stochastic_gradient.py:5(<module>)
       13    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:120(<listcomp>)
      120    0.000    0.000    0.000    0.000 shape_base.py:907(<genexpr>)
        1    0.000    0.000    0.006    0.006 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 data.py:150(_min_or_max_axis)
        2    0.000    0.000    0.000    0.000 coo.py:118(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:134(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1613(_make_netmask)
       10    0.000    0.000    0.000    0.000 config.py:395(__enter__)
        2    0.000    0.000    0.000    0.000 printing.py:52(<listcomp>)
       10    0.000    0.000    0.002    0.000 groupby.py:1760(_get_splitter)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2615(<genexpr>)
      195    0.000    0.000    0.000    0.000 pyparsing.py:3351(<genexpr>)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4189(__init__)
        1    0.000    0.000    0.008    0.008 test_numexpr.py:299(test_evaluate)
        3    0.000    0.000    0.000    0.000 format.py:1598(_save_header)
       60    0.000    0.000    0.001    0.000 format.py:1795(<lambda>)
        3    0.000    0.000    0.000    0.000 {method 'writerow' of '_csv.writer' objects}
        1    0.000    0.000    0.003    0.003 series.py:993(to_string)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
       29    0.000    0.000    0.000    0.000 pluggy.py:747(call_historic)
        1    0.000    0.000    0.000    0.000 capture.py:190(CaptureFixture)
       18    0.000    0.000    0.001    0.000 six.py:564(with_metaclass)
       40    0.000    0.000    0.000    0.000 pyparsing.py:1046(wrapper)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1080(ParserElement)
       34    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:518(_numpy_tester)
        1    0.000    0.000    0.018    0.018 __init__.py:173(<module>)
        1    0.000    0.000    0.003    0.003 worksheet.py:9(<module>)
       11    0.000    0.000    0.000    0.000 common.py:205(_default_index)
        2    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_float64_float64}
        3    0.000    0.000    0.000    0.000 missing.py:513(pad_2d)
       10    0.000    0.000    0.002    0.000 groupby.py:1879(_get_compressed_labels)
       13    0.000    0.000    0.000    0.000 groupby.py:2729(_convert_grouper)
       10    0.000    0.000    0.000    0.000 groupby.py:4400(sort_idx)
        1    0.000    0.000    0.021    0.021 cpuinfo.py:24(<module>)
        1    0.000    0.000    0.000    0.000 test_numexpr.py:750(test_strings)
        4    0.000    0.000    0.000    0.000 multi.py:504(_set_names)
        6    0.000    0.000    0.004    0.001 frequencies.py:848(get_freq)
        1    0.000    0.000    0.000    0.000 datetimes.py:1(<module>)
       29    0.000    0.000    0.006    0.000 internals.py:4937(<listcomp>)
        9    0.000    0.000    0.000    0.000 series.py:2982(create_from_value)
        3    0.000    0.000    0.000    0.000 resample.py:1010(__init__)
        1    0.000    0.000    0.003    0.003 parsers.py:1412(_agg_index)
        4    0.000    0.000    0.000    0.000 util.py:1(<module>)
        2    0.000    0.000    0.002    0.001 runner.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       12    0.000    0.000    0.001    0.000 abc.py:151(register)
       17    0.000    0.000    0.000    0.000 enum.py:65(__init__)
        2    0.000    0.000    0.005    0.003 __init__.py:10(<module>)
       29    0.000    0.000    0.000    0.000 getlimits.py:532(max)
        1    0.000    0.000    0.000    0.000 basic.py:1096(erfinv)
        1    0.000    0.000    0.001    0.001 blas.py:143(<module>)
        1    0.000    0.000    0.000    0.000 data.py:7(<module>)
        1    0.000    0.000    0.001    0.001 arpack.py:7(<module>)
        1    0.000    0.000    0.012    0.012 __init__.py:89(<module>)
        1    0.000    0.000    0.016    0.016 client.py:69(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
       43    0.000    0.000    0.000    0.000 common.py:1419(is_string_like_dtype)
       10    0.000    0.000    0.001    0.000 groupby.py:4040(_gotitem)
       13    0.000    0.000    0.000    0.000 base.py:1066(set_names)
        4    0.000    0.000    0.000    0.000 subprocess.py:1348(_handle_exitstatus)
       14    0.000    0.000    0.000    0.000 __init__.py:3132(<genexpr>)
        1    0.000    0.000    0.000    0.000 timedeltas.py:83(TimedeltaIndex)
        6    0.000    0.000    0.000    0.000 frequencies.py:814(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       70    0.000    0.000    0.000    0.000 rcsetup.py:64(__call__)
       31    0.000    0.000    0.000    0.000 pyparsing.py:2409(parseImpl)
        1    0.000    0.000    0.000    0.000 capture.py:64(CaptureManager)
        1    0.000    0.000    0.000    0.000 data.py:9(<module>)
       33    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        6    0.000    0.000    0.000    0.000 warnings.py:398(__init__)
        1    0.000    0.000    0.009    0.009 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       96    0.000    0.000    0.000    0.000 inspect.py:81(ismethod)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       19    0.000    0.000    0.000    0.000 version.py:331(_cmp)
       13    0.000    0.000    0.000    0.000 six.py:91(__get__)
       10    0.000    0.000    0.000    0.000 groupby.py:2664(is_in_obj)
       18    0.000    0.000    0.000    0.000 ops.py:1352(_comp_method_PANEL)
       64    0.000    0.000    0.000    0.000 __init__.py:1871(__init__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:4716(<lambda>)
       24    0.000    0.000    0.000    0.000 multi.py:498(__len__)
       18    0.000    0.000    0.000    0.000 multi.py:501(_get_names)
        6    0.000    0.000    0.003    0.001 frequencies.py:950(_infer_daily_rule)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:77(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1926(__or__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:3518(__init__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:3554(__str__)
