,aprjul_slope,aprjul_intercept,aprjul_mean,aprjul_std,octmar_mean,octmar_std,octmar_intercept,octmar_slope
0,0.048729660643735774,2.2944181374166006,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916155,12.642719520815357
1,0.04185882851274121,1.0926410771485875,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916155,12.642719520815357
2,0.028523777416009456,1.027300318157169,3.6272833344014126,1.942933322565145,0.0,0.0,0.0,0.0
3,0.027640730777190082,0.36079924032804495,3.6272833344014126,1.942933322565145,0.0,0.0,0.0,0.0
4,0.01460841492989864,-0.030847247151583948,1.6303707049424896,0.9809560955573694,0.0,0.0,0.0,0.0
5,0.003934731661340699,0.2818628372108479,0.5339643785716006,0.24649156306982178,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.030952352542765776,3.8613558374565935,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916155,12.642719520815357
10,-0.0890590862426453,3.956225239353274,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916155,12.642719520815357
11,0.21747977537435004,2.1731304517018017,3.6272833344014126,1.942933322565145,6.918360413378999,3.8774197492368554,1.2856641828916155,12.642719520815357
