,high-potential-random,upper-random,lower-random,high-potential-lower-random,high-potential-higher-random,upper-lower-random
0,0.27795886640715106,0.054235506829579526,0.00012448918417381572,0.29675581121466127,0.0,0.09557025811592809
1,0.024360483263390968,0.026308067286643422,0.0,0.04120581074380337,0.0,0.011832048004224445
2,0.8091604907086843,0.5810761855658093,10.044785860687941,0.7501809194709379,7.88133014120015,0.6736164440110208
3,0.2837494003888274,0.05884153645446896,0.020934829659903963,0.26986760804592425,0.015234378941995592,0.17473483414828933
4,0.6032138104412086,0.7183667714207259,10.895719512416095,0.5954561851409418,8.160062858918002,0.6006404947492752
5,0.2788870385944556,0.24135812496587988,0.06298255753276728,0.27903978935249274,0.04088046948145285,0.20985486831544006
6,0.1081280295750361,0.11575873964737586,0.0,0.1510661041060631,0.0,0.054998385172787365
7,0.022410744716428337,0.07132824927330846,0.0,0.09936856222613719,0.039748330193923195,0.04281676972635857
8,0.13924578233226179,0.1126595019590806,0.0018538068929195963,0.17090579880723766,0.01099026945399,0.07185424707337515
9,0.08205323027734453,0.20037908559041617,0.08651957685138568,0.18129904418290188,0.09623635891216878,0.07825099594841195
10,0.005376296533142733,0.014216885685721627,0.0,0.0309032641209475,0.008061439547842907,0.0
11,0.2744996683817534,0.07959098868072119,0.01167778466494041,0.3444546729994136,0.0,0.22124153677819902
