,high-potential,upper,lower,high-potential-lower,high-potential-upper,upper-lower
0,0.16595883441024278,0.047802657045228465,0.08300883569755722,0.03751954577539614,0.03141064454320542,0.11114019556963224
1,0.04612181309708027,0.06451872229621303,0.22983691670817474,0.015061582704722997,0.06168664842659832,0.14126116065770647
2,0.0,0.0,0.009099915576599706,0.0006931555557121182,0.0013061709414467827,0.023320936849813925
3,0.3120607535505786,0.2164185129471598,0.17277780824120786,0.12471277754510345,0.17458385688053205,0.32115997559395454
4,0.033142753236004706,0.03610160690051728,0.07633128250759885,0.00035584595486355073,0.048939236537755386,0.03232126645499097
5,0.33630147746908573,0.20103056184023566,0.22765135986334928,0.08344714462818086,0.13845316708004218,0.2515176298399969
6,0.04358969360093188,0.10582201826897597,0.23284271117898073,0.02351637046425697,0.11016175781900729,0.07558579984970003
7,0.0010384696519072987,2.430152943598405e-05,0.010123799215821294,0.0,0.0031274757601590045,0.005873458154244106
8,0.13295292975542056,0.0372619043606443,0.07441733241753025,0.008235908164372448,0.02216074613191334,0.06176197910715508
9,0.5393473931480561,0.5545708389600118,0.5417580054826718,0.3084331629404988,0.4228600648680246,0.5464116370324201
10,0.10008562790670342,0.1607091293412674,0.2620358801543469,0.07403925810411602,0.061104550561394626,0.13796578955619698
11,0.021981150364600115,0.04500173772067063,0.06197610087730474,0.001375867221196656,0.041620830870427686,0.02151781790055758
12,0.5007157294786011,0.3847462995227811,0.46660241997307333,0.2623631851916864,0.37347300489926494,0.42494329864195246
13,0.3152921920997687,0.36026839477539385,0.6993588100059562,0.18094865147094183,0.2776226791853308,0.4645620252416888
14,0.12264392556303369,0.08528797694549725,0.09416783685475354,0.040989401775027905,0.023107733956561963,0.06878457030482407
15,0.15323337901846798,0.19802073535277717,0.3631007527484045,0.17229436616363322,0.19760341476679977,0.3619161811767168
16,0.19198603638170456,0.2646715073440335,0.4575558117954058,0.09814367763745649,0.21848873273024214,0.28465272046629475
17,0.22517717634254633,0.17189454308555804,0.33393713581050766,0.17178523966529013,0.29949912961665764,0.2229546506950091
18,0.19243051721866544,0.08188987579917528,0.11861293738061997,0.08582561601730693,0.004624528512765738,0.138221927802314
19,0.4915236032777587,0.3128935730982157,0.37147338850006684,0.4367073177773977,0.4492423924243718,0.2930570730727167
20,0.273961744485381,0.27690980897880285,0.32069697312374806,0.15073464537476633,0.18938909285927855,0.3464616716954959
21,0.3810954768982401,0.23855178162483873,0.24597876127704854,0.1444566499135395,0.15240414175504616,0.2424563377714667
22,0.2566257960561859,0.12990001841350304,0.12514130943064702,0.025465835170767212,0.10858659616884038,0.1455404545276962
23,0.24746294636332145,0.16715669591812826,0.3441497177306543,0.11446174383476622,0.16146993493109218,0.2028972264702198
24,0.2472495060492968,0.3976480704022358,0.7764648646667225,0.16580329068198044,0.2740496616016402,0.4906173025078255
25,0.01392500568274439,0.06996325310215046,0.3060330696400065,0.01922929382664745,0.03884754810383793,0.17765088905778045
26,0.1659487724580757,0.12335449740455899,0.11050805271803782,0.009964395725017323,0.05365519670731973,0.08418302234712882
27,0.16159134355253219,0.1429905788072643,0.2060462314671652,0.19969449450365045,0.06698632106652369,0.050626405965237896
28,0.3500566977401903,0.26999486468892814,0.38665616094135263,0.12638552419762872,0.3066799893659824,0.2980947740023703
29,0.33065387073661573,0.21580878397720588,0.18254404463199725,0.09666191348643391,0.1897746123084065,0.25497334140253636
30,0.9616675295681503,1.0316543276379866,1.1094184174042512,0.6333239120781163,0.7276425250037083,1.2906325023459673
31,0.39585372099542276,0.34116534463892395,0.36330611450403266,0.22489607170870202,0.11568401786195366,0.2573906406335993
32,0.41918406403625785,0.2666375354539622,0.4477892765286131,0.24161770067970645,0.18295980888164007,0.40316969095571664
