,high-potential-random,upper-random,lower-random,high-potential-lower-random,high-potential-higher-random,upper-lower-random,all-random
0,0.16032775618810732,0.11663592355941188,0.13171723143447422,0.17879350140176928,0.035134725385383855,0.1501876630932605,0.0583599051654102
1,0.3138225076586114,0.26520869375501227,0.26227394139793586,0.3879683497346266,0.8912802895299637,0.3289551020668533,0.06548209334056361
2,0.3131509238639628,0.6023947716684359,0.30025400145394987,0.4446316743057643,0.0,0.32320806719173584,0.13524750336277394
3,0.09950626010596551,0.16026938219224982,0.13539227638103646,0.11052153612022864,0.09237397579715917,0.046601901190618945,0.02033890153689433
4,0.1903586396733635,0.030914154573348056,0.048988696857360674,0.2929302014602314,0.03401832832318094,0.09180235370236924,0.01722832739872991
5,0.27457741516749035,0.39926076965462426,0.3696626509576274,0.3782717911444227,0.0,0.3293439942644814,0.17063222739745965
6,0.47503277273141337,0.5281683921861255,0.5534584240789657,0.5743895403403895,0.0,0.6750928190239402,0.16882495836134673
7,0.04235555757828488,0.02278703396460973,0.04780946521098456,0.12922988260198476,0.12228838694776774,0.043039650213941995,0.0273049947381834
8,0.01225517566632404,0.029648110592873585,0.019324787815321275,0.01738311666077429,0.023481338118364455,0.02585682572231639,0.002511098746454108
9,0.05433889052281866,0.041341834078126936,0.0,0.07969097213199647,0.10277716587173855,0.00849049187585899,0.04857589525591791
10,0.04029821917140728,0.027758488325923796,0.029678636623324536,0.054745410009051615,0.10531651813104462,0.02193682506459064,0.0036982465810432613
11,0.41749825285515857,0.4542294805315623,0.26077494257746736,0.407389424784429,0.000295011551747333,0.34608705789203614,0.20643135957635472
12,0.20426421228680275,0.06103955837570731,0.06137704291010826,0.2700629696797022,0.16046583533348877,0.10528784800281761,0.009092248929624869
