,high-potential,upper,lower,high-potential-lower,high-potential-upper,upper-lower
0,0.1650634354538455,0.10174658286078321,0.17725574137442118,0.07773894902979366,0.13552666120772106,0.1619091584971505
1,0.18419910175354814,0.164983575254138,0.20044151272774688,0.1051108679935301,0.08001602096143819,0.16256451287226723
2,0.1540100949993555,0.23907246698230486,0.31354143683092545,0.06492487743263962,0.13487604122261798,0.1719200797745488
3,0.015742930054824387,0.014206673038970016,0.043855523785216975,0.0045093910865520144,0.03244595399089453,0.033815686943373544
4,0.12687711324760495,0.18320495362998088,0.5819336423082181,0.18350801315160345,0.14119113003050002,0.44074425820579083
5,0.09839379088568785,0.056091832339498576,0.11857601504684985,0.05714796982614666,0.09190687347550285,0.1307196992879961
6,0.18249698534442454,0.07283066903917663,0.11915650373680997,0.05145348799832593,0.0076538668997297036,0.12340708251216526
7,0.38122337643987547,0.27302278686247067,0.5378084960039731,0.14833764196221877,0.38402578640862545,0.4148932421872882
8,0.4197264339187708,0.5757646861810459,0.6643941996397272,0.37905346772168713,0.3157391411767893,0.6934583705957942
9,0.29654190089683297,0.195079527192519,0.2636982418480009,0.09633621701261295,0.10349965258106571,0.18488112048551286
10,0.2889697371589357,0.4309677360870612,0.6519522831523313,0.2185314845839287,0.3112189912670198,0.4790945994963835
11,0.4794639054035215,0.7089344814063543,0.534545181250415,0.45405452430444126,0.48650060659975203,0.644356844486789
12,0.23203014900107,0.2260402988398966,0.20348042969931635,0.1372876473511203,0.15757166198444214,0.26316407323263963
13,0.06782250141385067,0.08790210968084446,0.17668929397182065,0.06786654455681561,0.0528131984548354,0.09244935470870685
14,0.14768775055281677,0.11601892253167244,0.11596403666924705,0.01961655789626994,0.04679615643458854,0.09496089795055354
15,0.09451701252905612,0.06964493104462649,0.1086873076455273,0.05996058333617601,0.11925519423062945,0.10267992909705174
16,0.25024300502543273,0.1351899833500145,0.15456043381826184,0.10024831819237212,0.0925928058928645,0.10856190839240391
17,0.03471110775609102,0.06013702502871795,0.15242699688603284,0.023834778307911638,0.023304425283194083,0.11434042240047324
18,0.012538665361222676,0.006082108636760712,0.04744830533074443,0.0,0.03591130318241577,0.00877228428070295
19,0.07099951352312187,0.04457339863469466,0.04403434382587406,0.009522841235267185,0.01793369180047543,0.016055744764398163
20,0.19248267660346743,0.1039571605966758,0.10782476712273653,0.07190290752902899,0.056165294378999746,0.029125692165851275
21,0.060678931138516176,0.030411212741575863,0.064869355416489,0.007539043451074065,0.028222906127736827,0.030630657486135745
22,0.5612186320149651,0.3716005899325142,0.6406479394181643,0.26972108700244624,0.3407344917710795,0.33500617931691906
23,0.1299925990230766,0.16049776975050728,0.15108213212526223,0.07235848170722646,0.04939313271734229,0.15638772296842218
24,0.24200795029057756,0.22886971088781471,0.21863939168140648,0.06091680151122411,0.1271176284843364,0.17051106265808036
