,high-potential-random,upper-random,lower-random,high-potential-lower-random,high-potential-higher-random,upper-lower-random,all-random
0,0.14833187142626356,0.04396201494858202,0.09669999047962391,0.1980462825917047,0.12924497210259508,0.10883229923579399,0.045934242908916005
1,0.1355198485566789,0.3686935988733031,0.14998273952615926,0.13086237119924626,0.5117705972009818,0.14768455344346243,0.035352806003320754
2,0.2085100683742877,0.18978849230566047,0.18452699071905945,0.4154081830170669,0.0,0.2053762958337215,0.11446511165738324
3,0.13029453334460903,0.2603445065675888,0.11978442422480319,0.10807277852329876,1.743961875958534,0.19248384752440084,0.02092205411254898
4,0.0031117888492471204,0.00811281235328274,0.0,0.000994059900777922,0.44550013275635253,0.005263406668197853,0.0
5,0.18497511742740125,0.17093003506145218,0.14600899125496142,0.2636693553333433,8.042462266344938e-05,0.07597812632001415,0.006267274249240305
6,0.049112724807482834,0.041545615841799236,0.041141859867722216,0.04667439231026438,0.9976837985821884,0.06998753629984203,0.001587919694758376
7,0.5140352878951522,0.705655307126163,0.39955621593884705,0.5295939996040132,0.15296144208006743,0.31776162351724174,0.36630909208259427
8,0.4509001024817572,0.41547461329205804,0.3528366893364668,0.5482854112658982,0.0,0.30553838332812816,0.12757891171593252
9,0.12810272831645525,0.01865801209892684,0.04644151463274246,0.1411797381297998,0.00014573905663355173,0.08642909264747149,0.03966921412562703
10,0.22123170937508643,0.37172209463616723,0.21143000914677013,0.184266291206916,0.00020497074372182312,0.24901098331033406,0.16453507843331494
11,0.23049163206769654,0.31246423533158174,0.30070610667813674,0.24260164851852356,0.004832059349276308,0.340209325255355,0.13422433800529507
12,0.16996242321486413,0.024833274768248852,0.06329643610683133,0.25684867991475835,0.0,0.09097290550338397,0.010349633767006117
13,0.2787913112520294,0.2304533218414498,0.19261125450053687,0.28267179690164096,0.3008744323963137,0.2717202669254347,0.08500610244409287
14,0.4201452353218578,0.09787292865056564,0.15310418773115772,0.4321106443368997,0.0,0.2346728440920366,0.09323045262577175
15,0.31186992467945207,0.1328424751295475,0.1222710293662159,0.27721406756653777,0.013643195554150786,0.1317080189164891,0.10004069256894194
16,0.3663851086836214,0.3196571613863162,0.40976719340343837,0.4382746362088738,0.0,0.4080690733164457,0.12058850768877465
