,high-potential-random,upper-random,lower-random,high-potential-lower-random,high-potential-higher-random,upper-lower-random
0,0.0032392086015488263,0.2996058541637996,26.0434971547,0.021677536397874737,23.903604531025586,0.011160410863081217
1,0.31217387324743046,0.11556054740732541,0.0008378651974362155,0.3560886493262221,0.0037905899579638524,0.21844685691785473
2,0.048012591816073806,0.06630328649748722,1.337559996191723,0.05566786685686518,1.2331674554725023,0.07325159489816721
3,0.09712431476150202,0.026931988854065874,0.05732605850066544,0.12402306328484176,0.08376008565924856,0.060493970820043964
4,0.5819890393951673,0.23410968560600723,0.0,0.7938013369338087,0.0,0.6445392681342208
5,0.10129945602568215,0.2320356329622847,0.04648506059483485,0.15405616606419392,0.037656268855192354,0.056737646720618096
6,0.39523343479112205,0.18863212874054494,0.009592147947818886,0.4426281987952227,0.0026683386531404624,0.2644431959723149
7,0.11159809225936233,0.027286550499706214,0.0,0.16216990432055267,0.0,0.18005555995392014
8,0.6745588254896447,0.45927768994666623,0.00012966715761248405,0.6226413889365724,0.0,0.3900744947564686
9,0.16684482658007008,0.6074100826839118,0.7138351110900613,0.08576555068961446,0.7419983944079277,0.22658691538682146
10,0.026079510133303424,0.10349702925002292,0.0,0.11719489784940494,0.014956148789630804,0.06721724385956258
11,0.2515043138622342,0.04091729435054768,0.03109965562338966,0.21165290019084998,0.005190914785486926,0.07099644369164576
12,0.2590844502466537,0.14911324341012538,0.004646038164202803,0.29621752323597245,0.0,0.28589295788154123
13,1.2245799195048146,0.6752810558488372,4.226025530454537,1.593702597698047,3.234155275053341,1.233711884973135
14,0.461294116802597,0.1508661244518283,0.0007108797057724134,0.4407613540756786,0.004177850341650882,0.26663866276770576
15,0.5227225895911403,0.12095337056548855,0.01866076260846083,0.6103535326907683,0.027830831821848683,0.4218006195421788
