,high-potential,upper,lower,high-potential-lower,high-potential-upper,upper-lower
0,0.19678200514143657,0.15566944794758342,0.27491971028637646,0.03932180591143241,0.11913674054019986,0.21568829029209946
1,0.002538863226525442,0.019534646930421336,0.019107982994660974,0.0,0.0027287662694118323,0.0029047584526257957
2,0.038971253659843746,0.022114100423814648,0.038145484210204174,0.0032117343527559125,0.014986319727794817,0.01566125465508229
3,0.0343285564842621,0.09725212729700553,0.17408799640084124,0.04725969277974896,0.058318802103282656,0.09025651915952963
4,0.17333040711558212,0.08133887544381957,0.10698722188022768,0.010792341365474063,0.04433975799490531,0.11081810263731262
5,0.19217544872838244,0.16681610468769426,0.19057964170511427,0.04364139503919533,0.1775748178380951,0.16524379210500084
6,0.05558691147365213,0.01956641276079325,0.033066102094034495,0.02557054826107666,0.010106008446445396,0.026463614016063543
7,0.0812550179600096,0.09442575392650078,0.1708152381599176,0.020909653355725352,0.10050460917758292,0.06183869303594693
8,0.011056506641548542,0.0038317020628551813,0.026670751636671156,0.001407402965393761,0.00607778848499952,0.01335540493571291
9,0.05309440170604201,0.013406310752718718,0.041356753067939775,0.011908184532638082,0.011566210680618551,0.014618659685569161
10,0.13938626038375168,0.04319837984623399,0.07591677484934836,0.012859148981389566,0.010102268509762596,0.03771913711199927
11,0.01412567970581477,0.007734310150039227,0.016524617461822065,0.0003478146370831816,0.013000165486637823,0.008927738767054003
12,0.325081429676755,0.20720007449074215,0.2662287150372624,0.055363882628097445,0.0641100669252326,0.22194361799671464
13,0.04539235120131656,0.012881028385839207,0.020347792876186974,0.006069682711228498,0.0005003344177459256,0.009548862982125567
14,0.10259187035038193,0.044920577323169404,0.10104753122079885,0.027185099834292983,0.04061972509946343,0.08144189146164746
15,0.13371879221363786,0.05432198268777232,0.05283361382346952,0.005515680898773308,0.019937870852470736,0.06848082630041216
16,0.07500846710711132,0.05286808217508401,0.11345028812752203,0.017385879468842177,0.068550662881088,0.0942978793277989
17,0.012375442746408163,0.006673509862638478,0.02440574175644924,0.002922099425104014,0.017306181446989508,0.01808807021105255
18,0.08083286755295495,0.01233727610349703,0.07647798403684429,0.01488311180945641,0.00932750112856749,0.05775737657243552
19,0.0749006209658157,0.0426497240409952,0.11112444994523667,0.013362883500830527,0.06040762735491546,0.05952800128243822
20,0.011513122531542533,0.006786615182001112,0.004800764023282216,0.0006555822998660972,0.0008955255440720068,0.00500105825969148
21,0.022650634139788878,0.007581055137379223,0.05191711242054773,0.0019393186702666564,0.035224309432180544,0.03358933943802956
22,0.184797073250102,0.10292736032139958,0.18220353022299388,0.05361645230199094,0.05709104083563924,0.0835594130962275
23,0.011618727126041214,0.0018988598432043817,0.020249039191901717,0.0037666609274189145,0.011996343699332125,0.01588786089156006
24,0.03767312193834966,0.026119183749116873,0.04857333861040787,0.006452816495459348,0.03875409511051525,0.026520172265353706
25,0.15465955474919812,0.10405277856318709,0.22573560560628614,0.06784077614030422,0.09486816350975007,0.10238652530777252
26,0.036583535468898885,0.06984380362744144,0.14548830502527182,0.017193286091242564,0.05344662116554614,0.06622353580437694
27,0.04025986706120223,0.0050123622280335706,0.033269311095486795,0.021832480285339483,0.010114413305944338,0.02736460219320557
28,0.0853268057752438,0.09365544476751352,0.08610451182599506,0.0546504645227446,0.10702684844180277,0.08983174157346642
29,0.008544258456889529,0.018876426648265766,0.040805349984144625,0.009375131045995511,0.07320152062785845,0.058335279988366046
30,0.01105385819517402,0.0,0.002249420803924115,0.005189582567666459,0.004108333436368302,0.001498083630407853
31,0.0,0.0031486549694383944,0.0007109655789310261,0.0,0.0,0.0050225443806624
32,0.03718484853441709,0.010936876452406458,0.03749166257970091,0.008179532785489881,0.029833757406330874,0.01555393426770103
33,0.002743393648967905,0.0,0.002671672261135533,0.0,0.0,0.0
34,0.08577515286638913,0.06592041078830176,0.0378361671801713,0.0008495825940408539,0.021406670304502873,0.03938978965817253
35,0.10804430492815599,0.02423322206783867,0.04713861874323235,0.028111762450969642,0.012562142579216815,0.037722936928084046
36,0.04883963856833129,0.02974868945429491,0.11246048149082137,0.005758089587517833,0.05997106014074354,0.09288751740103741
37,0.22755575518155166,0.12488324034742017,0.22227822763975985,0.09249522558472394,0.08350575280773936,0.13394719774431568
38,0.013030865049938892,0.002565042455606185,0.0411406293336516,0.006782434019410989,0.023419575678601586,0.045171840342968284
