,high-potential-random,upper-random,lower-random,high-potential-lower-random,high-potential-higher-random,upper-lower-random
0,0.0753142042322385,0.25214826401354107,0.06915252085449863,0.15796843386238063,0.07351056653477499,0.09602613098436906
1,0.016106554192588662,0.017185644148464334,0.03800322686680941,0.01998670931071036,0.3623757464668799,0.010390620061284724
2,0.03259251456119282,0.01882597037696426,0.026477307876951083,0.03790536777345385,0.031047927704006495,0.014910126696689043
3,0.024202737602187833,0.018972605989791374,0.0906147666463519,0.04639348871922118,0.12197521531990982,0.0004552715384128495
4,0.017253294757411754,0.0383378054518696,0.021124740178101203,0.024354894710997554,0.02472217052361659,0.009708026393242704
5,0.2881789896748065,0.07463941432925343,0.055062383006089934,0.3163926697435975,0.015305725682712283,0.1979754784164642
6,0.03333499227908656,0.006805877075797507,0.2728277875102161,0.024249808980900137,0.3297247048476842,0.013429724149920703
7,0.1027217550275091,0.0629972664891084,0.03165757453576859,0.18244864505471545,0.042993340890486315,0.015777970622433305
8,0.027095894949389583,0.011296942839211578,0.22167169977312537,0.08924011215404258,0.292760673440405,0.05580745366241608
9,0.11643928678209939,0.05884839816713093,0.0,0.13523577317824767,0.0,0.040652618635833776
10,0.01842477327303065,0.03681617406417987,0.04336033850066721,0.05050680037901876,0.04957686029732612,0.004388648620355506
11,0.009836390617609974,0.0026779482491212864,0.0,0.011849862365850219,0.0,0.0055641958366503775
12,0.029120456285100085,0.050639690111517234,0.0,0.05738545678752289,0.0,0.015525683122042513
13,0.14902397301286535,0.0765981367454906,0.00039766846014105075,0.154981662954613,0.0,0.049341871489238194
14,0.002258583720160714,0.001762545744057894,0.0,0.01601967875438307,0.07037294938252354,0.0
15,0.0,0.01696318420124434,4.204646348450376,0.028623047564763044,4.148872571574444,0.0
16,0.0,0.0,0.0,0.00012833244381197628,0.03552779844854963,0.0
17,0.08559897889421307,0.0135674375257413,0.005752383303408861,0.10067851617347319,0.008118503758325422,0.03539690094552774
18,0.19243340722146857,0.07094203031534059,0.06761199398501132,0.23993405034063636,0.10412664376778105,0.06505208509368561
