,FOL_fnf,ORO_fnf,TRR_fnf,ISB_fnf,PNF_fnf,MRC_fnf,MIL_fnf,NML_fnf,TUL_fnf,DPN_fnf,SHA_fnf,YRS_fnf,FOL_pr,ORO_pr,SHA_pr,YRS_pr,FOL_tas,ORO_tas,SHA_tas,FOL_swe,ORO_swe,SHA_swe,YRS_swe,MED_swe,SDF_swe,SLT_swe,SNM_swe,BKL_swe,HMB_swe,FOR_swe,RTL_swe,GRZ_swe,GOL_swe,CSL_swe,HYS_swe,SCN_swe,RBB_swe,RBP_swe,CAP_swe
1994-10-01,5.220265400000001,34.75593,6.2973256,10.996531,10.484129,11.537288,9.303525,10.522331,1.5454148,6.689914,122.57257,11.368599,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-02,5.4426464999999995,34.802017,6.305749,11.041335,10.506692,11.549892,9.347539,10.532078,1.549287,6.710087,103.96132,11.542725,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-03,5.371672,33.771667,6.303064,11.008803,10.502899000000001,11.549976,9.341524,10.532743,1.5483984,6.7108793,93.60852,11.300972,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-04,5.285254,32.15293,6.306023000000001,11.002034,10.518628999999999,11.548924000000001,9.335631,10.532283999999999,1.5532811000000002,6.709825500000001,88.145645,11.1013565,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-05,5.202767,31.113514000000002,6.357158,11.115949,10.787303,11.570402,9.4806595,10.533729,1.5637866000000002,6.739910000000001,84.59186600000001,10.932234,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-06,5.131801,30.29595,6.349578,10.965161,10.830067999999999,11.554369,9.393476,10.530778999999999,1.5592238,6.735299,81.96358000000001,10.800715,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-07,5.0734587,29.680737,6.4156184000000005,10.946796,10.628392999999999,11.604095,9.352142,10.534376,1.5935224,6.833938000000001,80.06579599999999,10.7001,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-08,5.2873263,29.222525,7.1732016000000005,12.20875,13.661043,13.188004000000001,11.320274000000001,10.791838,1.8857476999999998,8.266041,79.60365999999999,10.616645,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-09,6.1514372999999996,28.781540000000003,8.756561,14.00341,14.427675,12.9410515,10.568626,11.915594,3.8624606,10.027728999999999,79.51866,10.560459,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-10,4.9957733,28.459179,9.792974000000001,18.133157999999998,12.685347,11.737447,9.667508999999999,10.543385,2.3442022999999996,6.9339533,77.622665,10.4942875,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-11,4.9714527,28.206827,7.750767999999999,12.266150999999999,12.210479,11.689861,9.5961,10.544317999999999,1.8696356,6.875111,76.893715,10.451908,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-12,4.9453197,27.989404999999998,7.3783092,12.023558,11.992638000000001,11.690349000000001,9.59337,10.54557,1.8095895,6.8828588,76.255974,10.412466,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-13,4.919139,27.783989000000002,7.1520529999999995,11.863041,11.849385,11.683532000000001,9.592602000000001,10.545977,1.7807137,6.882581699999999,75.626,10.375921,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-14,4.8917375,27.593548,7.6736317,11.915758,14.022517,11.74831,9.644645,10.54697,1.9848533,6.9112673,75.03398,10.339686,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-15,4.8629489999999995,27.396408,7.902450599999999,11.735909,15.772282,12.063147,11.262037,10.55945,2.0243330000000004,6.990278,74.47395999999999,10.301144,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-16,5.4766498,27.71994,7.8158,11.613088000000001,12.958208,11.807442,9.9028425,10.779164999999999,1.8282098000000002,7.156949000000001,74.27893,10.50827,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-17,36.99688,88.357285,11.389835,12.041473,20.250010999999997,19.003447,20.682077,16.579506,3.1950812,19.003560999999998,224.39397999999997,44.075359999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-18,100.74499,67.79288000000001,11.7897415,11.714616,20.293785,51.931515000000005,24.361995999999998,47.983124,3.0286937000000003,227.8074,236.57886000000002,52.566204000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-19,77.11368,131.30731,12.200182,11.891832,22.389324,30.756538,25.670431,37.200084999999994,5.628132,88.46722,361.47806,76.70755,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-20,171.16397,166.44913,10.378494,11.690175,18.72312,19.780972,19.562243,24.082281,2.704834,38.405205,242.69012,149.87572,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-21,340.3752,293.65356,9.770146,11.673273,17.352242999999998,67.38242,17.969078,64.99516,2.6509047000000003,259.796,662.6650400000001,270.55814,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-22,1093.7738,817.58093,10.333383999999999,11.737005,24.097310999999998,160.41034,56.896397,220.96927000000002,3.6069484,412.0048,844.7987699999999,819.8322,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-23,192.11775,219.22205,10.948266,11.645225,23.627031,60.162502,42.903397,62.785637,3.8217254,126.04248999999999,296.58395,148.16612,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-24,94.9414,120.72497,9.763889,11.615592999999999,20.159117000000002,33.59278,27.537306,34.260418,3.3354826,61.0465,195.13242,75.2139,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-25,64.71628,90.00988000000001,8.886768,11.545886,17.695871,25.955074,21.676548,25.907587,2.8659234000000002,42.032447999999995,158.02316000000002,54.10397,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-26,50.986053000000005,75.7826,8.334861,11.474921,16.165789999999998,22.130229999999997,18.665546,21.87397,2.553681,32.641987,141.69421,44.850224,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-27,107.48482,173.56918000000002,8.001128999999999,11.411721,15.210185999999998,25.253735,17.405735,26.656452,2.3589156000000004,42.321053000000006,465.56199999999995,96.003365,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-28,64.074196,99.0036,7.829569,11.358275,14.6750345,23.819073,16.926609,24.32093,2.2431997999999997,40.3182,190.1234,60.1685,,,,,,,,,,,,,,,,,,,,,,,,,,,
