datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2
2007-08-09,2321.3153648578605,20.8814129223421,20.8814129223421,16.056638728793715,4552.0,5.306633146598795,0.0,286.84581168567104,387.5344509423087,6.833886284136989,6.833886284136989,5.144208864782151,975.0,1.4531675486838151,0.0,157.20766733655032,1717.3712065510947,16.60976383079361,16.60976383079361,16.60976383079361,3537.0,15.242704483897965,0.0,179.92946272986185,21.137553601207234,7.933884284159998,2.7456410130841853,10.45802830396305,82.70785346841933
2007-08-10,2307.052506754157,20.632260988200713,20.632260988200713,15.849809375297486,4552.0,5.308724553463167,0.0,281.5613775509591,383.7526039866328,6.737082742808345,6.737082742808345,5.076437581518022,975.0,1.45055329010335,0.0,154.1656488972631,1704.2214690846477,16.729551547249873,16.729551547249873,16.729551547249873,3537.0,15.291922128340643,0.0,176.18621621465942,21.4171208454609,7.933884284160003,2.7968254997421447,10.686411061558752,82.9626583216391
2007-08-11,2293.1353504203535,20.769774200607344,20.769774200607344,16.02964516834928,4552.0,5.310973840607225,0.0,275.90453002135143,379.9320703592401,6.7608752393564275,6.7608752393564275,5.129262336130621,975.0,1.4477416811732773,0.0,151.08502007469355,1691.0445740682228,16.78690333866704,16.78690333866704,16.78690333866704,3537.0,15.341139772783324,0.0,172.72799686465044,21.336224094257982,7.933884284160001,2.7513042296931793,10.651035580404802,83.20344890793177
2007-08-12,2279.8658280550735,19.049045202978185,19.049045202978185,14.351238751365281,4552.0,5.313461683608586,0.0,270.66343512846316,376.65589205562367,6.203609211482371,6.203609211482371,4.601028566321081,975.0,1.4446318774215772,0.0,147.96679733909764,1677.516257406461,17.08829603185433,17.08829603185433,17.08829603185433,3537.0,15.390357417226005,0.0,168.9859275572267,22.931803041037334,8.026131064363065,3.101098788036543,11.804573188637724,83.43099601197835
2007-08-13,2266.8211179896484,19.076858479684166,19.076858479684166,14.421374608716423,4552.0,5.315445555028588,0.0,264.88080382074,373.43441431874203,6.193518601710084,6.193518601710084,4.61997021461331,975.0,1.4421520381465733,0.0,144.907999621552,1663.8405559101434,17.148397844814454,17.148397844814454,17.148397844814454,3537.0,15.439575061668684,0.0,165.5339623308206,22.938172442525946,8.028360354884082,3.081396887952991,11.828415199688873,83.63856271226418
2007-08-14,2254.7907314691493,18.393574608438296,18.393574608438296,13.780413318115716,4552.0,5.317549725548906,0.0,259.31068466594456,370.4563164477728,5.96102968455237,5.96102968455237,4.416513555520112,975.0,1.4395218249961765,0.0,141.7759705561799,1650.0288957825646,17.26650523643638,17.26650523643638,17.26650523643638,3537.0,15.488792706111363,0.0,162.09031997051545,23.550704857405968,8.242746700092088,3.080321409067082,12.227636748246798,83.83453389650616
2007-08-15,2241.874244974958,18.389030491102613,18.389030491102613,13.818191781425194,4552.0,5.3195496642660345,0.0,253.87061852292757,367.4763067666832,5.940803288196372,5.940803288196372,4.42531941722863,975.0,1.4370219015997663,0.0,138.7816333959744,1636.2034287666334,17.319844448888222,17.319844448888222,17.319844448888222,3537.0,15.538010350554044,0.0,158.44934490031144,23.575256494176287,8.251339772961702,3.0639320039082296,12.259984717306358,84.0027078071219
2007-08-16,2228.4540543877733,19.42691625278917,19.42691625278917,14.898400123756911,4552.0,5.321446458087688,0.0,248.42112761923838,364.14466956808303,6.246490946378037,6.246490946378037,4.760039333474811,975.0,1.4346509093226982,0.0,135.72603561072523,1622.4324585539948,17.307000538087387,17.307000538087387,17.307000538087387,3537.0,15.587227994996724,0.0,154.84569191213907,22.730068118465027,7.95552384146276,3.01526766849409,11.759276608508177,84.16095926037904
2007-08-17,2214.360744300861,19.403226257879865,19.403226257879865,14.91703270949277,4552.0,5.323315702690277,0.0,242.56900411575313,360.846659670998,6.220477504452093,6.220477504452093,4.763058149613384,975.0,1.432314353569463,0.0,132.87423107107915,1608.6512226212403,17.381660519351293,17.381660519351293,17.381660519351293,3537.0,15.636445639439403,0.0,151.37956309327095,22.790677022324644,7.976736957813625,2.9942323736463337,11.819707690864686,84.33408429359854
2007-08-18,2202.170983481476,18.55689265231099,18.55689265231099,14.113021684569052,4552.0,5.325111837195541,0.0,236.61790765224234,357.8114749436187,5.93749759934102,5.93749759934102,4.509110502566826,975.0,1.430069185437882,0.0,129.9196620560005,1594.1793282741492,17.50148423908191,17.50148423908191,17.50148423908191,3537.0,15.685663283882084,0.0,148.02859479859663,23.53055859618483,8.23569550866469,3.00056718311264,12.294295904407498,84.49596775035525
