datetime,SHA_storage,SHA_out,SHA_target,SHA_out_to_delta,SHA_tocs,SHA_sodd,SHA_spill,SHA_forecast,FOL_storage,FOL_out,FOL_target,FOL_out_to_delta,FOL_tocs,FOL_sodd,FOL_spill,FOL_forecast,ORO_storage,ORO_out,ORO_target,ORO_out_to_delta,ORO_tocs,ORO_sodd,ORO_spill,ORO_forecast,DEL_in,DEL_out,DEL_TRP_pump,DEL_HRO_pump,DEL_X2,DEL_SODD_CVP,DEL_SODD_SWP
2015-07-14,2571.5188692752868,12.452518212498966,12.452518212498966,8.433198325198294,4552.0,2.28402297535399,0.0,217.123710920034,108.63427017628419,6.637194865819203,6.637194865819203,4.564291640012751,975.0,0.8063081758887523,0.0,106.46892023788098,1621.2983063990232,9.451781845678813,9.451781845678813,9.451781845678813,3537.0,6.981522864194144,0.0,129.80141755986008,5.329933000889859,5.329933000889859,0.0,0.0,121.44359148284383,7.725827878106855,13.963045728388288
2015-07-15,2560.6138457565626,11.717141842095394,11.717141842095394,8.144641534572186,4552.0,2.3018774414655025,0.0,214.31679768727844,103.74098123868191,6.947592550683153,6.947592550683153,4.880495776489604,975.0,0.8124957833656036,0.0,105.27124380832974,1612.4647419460337,9.297031225726025,9.297031225726025,9.297031225726025,3537.0,7.0061316864154835,0.0,128.3955936791773,3.136052866787816,3.136052866787816,0.0,0.0,119.8248309800573,7.785933062077765,14.012263372830967
2015-07-16,2548.7495943236468,11.848568425571676,11.848568425571676,8.29575643583405,4552.0,2.319815312585307,0.0,211.25273309570338,98.85646799864054,6.994006004538807,6.994006004538807,4.932715681958162,975.0,0.8185999858341618,0.0,104.00625319305647,1604.065699993512,9.30777091134129,9.30777091134129,9.30777091134129,3537.0,7.030740508636824,0.0,127.1021603070636,3.042689339133503,3.042689339133503,0.0,0.0,118.63761546784632,7.846038246048671,14.061481017273648
2015-07-17,2536.3070993083325,11.947543823034854,11.947543823034854,8.428440971621153,4552.0,2.3376140152612903,0.0,208.33914335177923,93.96588972414438,7.047401601338284,7.047401601338284,4.991917730370542,975.0,0.8248433567465419,0.0,102.74693932946384,1597.1671943590607,9.320368794184503,9.320368794184503,9.320368794184503,3537.0,7.055349330858163,0.0,125.68839256211521,2.894115956176197,2.894115956176197,0.0,0.0,117.53521481760274,7.906143430019581,14.110698661716325
2015-07-18,2524.1119397467783,11.980648378902425,11.980648378902425,8.524029881894123,4552.0,2.355276908362997,0.0,205.38140083909846,89.50033315419854,6.631780072257968,7.1190817672120374,4.582102652903129,975.0,0.8312225372331986,0.0,101.55770740190397,1591.306982946141,9.342372423964544,9.342372423964544,9.342372423964544,3537.0,7.079958153079503,0.0,124.1397427951096,2.1278438387617946,2.1278438387617946,0.0,0.0,116.52577608897872,7.966248613990489,14.159916306159007
2015-07-19,2510.387080184803,13.392015454976454,13.392015454976454,9.332943296520707,4552.0,2.3727632954744613,0.0,202.4826690174715,89.47228472645932,2.1503689435114666,6.728293812576034,0.10649797576953102,975.0,0.8377782237100984,0.0,100.41021833576391,1584.3690082861294,9.647186876482044,9.647186876482044,9.647186876482044,3537.0,7.104566975300842,0.0,122.62991404421916,1.376214958772282,1.376214958772282,0.0,0.0,115.7704842633731,8.026353797961399,14.209133950601684
2015-07-20,2496.049988416713,13.7063735120815,13.7063735120815,9.563619991324943,4552.0,2.3878916464847837,0.0,199.63204492220063,89.3992777197917,2.4748468807767807,6.6843928190411726,0.43678236464774844,975.0,0.8466919462881402,0.0,99.09792489605151,1576.3391129426136,9.728923956696423,9.728923956696423,9.728923956696423,3537.0,7.1291757975221834,0.0,121.05040647020391,2.332301552669115,2.332301552669115,0.0,0.0,115.33815341006385,8.086458981932308,14.258351595044367
2015-07-21,2484.213735716171,13.257596684012547,13.257596684012547,9.443842430318012,4552.0,2.3850387698372013,0.0,196.47114888421208,89.44134709336463,2.6013847510016745,6.936116930075851,0.5691266864855455,975.0,0.8495448229357221,0.0,97.91187954821058,1569.2758850462812,9.657959303414454,9.657959303414454,9.657959303414454,3537.0,7.153784619743523,0.0,119.52012343950157,0.5760524202180122,0.5760524202180122,0.0,0.0,114.58893139229087,8.086458981932308,14.307569239487046
2015-07-22,2471.577068563655,13.432814000742495,13.432814000742495,9.625000499319915,4552.0,2.3826242971928844,0.0,193.44827798604263,89.54415937765174,2.4349566734697277,6.963072058607265,0.40850506056650193,975.0,0.8519592955800392,0.0,96.63383860577288,1562.0211526226558,9.709390152080234,9.709390152080234,9.709390152080234,3537.0,7.178393441964864,0.0,117.95566650506639,0.4457056619666506,0.4457056619666506,0.0,0.0,114.7840054341478,8.086458981932308,14.356786883929727
2015-07-23,2458.1036608583736,13.716679729907538,13.716679729907538,9.857038922917917,4552.0,2.3800733355546293,0.0,190.48730259159896,89.59456778265387,2.227042111735429,6.9413702871326155,0.20639695044510642,975.0,0.8545102572182935,0.0,95.28932001531234,1554.0958622638907,9.782937978337786,9.782937978337786,9.782937978337786,3537.0,7.203002264186203,0.0,116.36035804244439,0.672159011700808,0.672159011700808,0.0,0.0,115.13402280530788,8.086458981932308,14.406004528372407
