,FOL_pr,ORO_pr,SHA_pr,YRS_pr
2040-01-18,0.0007755931,0.0,0.0,0.0
2040-01-19,0.0,0.0,0.0,0.0
2040-01-20,0.0,2.7104427e-06,0.00019671762,0.0
2040-01-21,0.0,0.00044581766,0.00025725877,0.0005072922
2040-01-22,0.0,0.0,0.0008918982,0.0
2040-01-23,0.0,0.0,0.0,0.0
2040-01-24,0.0,0.0,0.0,0.0
2040-01-25,0.0,0.0,0.0,0.0
2040-01-26,0.0,0.0,0.0,0.0
2040-01-27,0.0,0.0,0.0,0.0
2040-01-28,0.0,0.0,0.0,0.0
2040-01-29,0.0,0.0,0.0003301497,0.0
2040-01-30,0.0,0.0,0.0,0.0
2040-01-31,0.0,0.0,0.0,0.0
2040-02-01,0.0,0.0,0.0,0.0
2040-02-02,0.0,0.0,0.0,0.0
2040-02-03,0.0,0.0,0.0,0.0
2040-02-04,0.0,0.0,0.0,0.0
2040-02-05,0.0,0.0,0.0,0.0
2040-02-06,3.7843184,1.1189667,0.23906447,1.5742925
2040-02-07,1.2549093,0.9827109,0.6215352,0.5101086
2040-02-08,24.692547,7.094293,4.431294,13.237889
2040-02-09,11.488554,10.911569,26.042023,13.683336
2040-02-10,5.6080174,3.7276704,6.309135,5.915981
2040-02-11,0.8586344,0.13214347,0.0933528,0.60161126
2040-02-12,0.6940436,1.0374951,3.073131,0.5005691
2040-02-13,1.6995276,0.22972092,0.34361094,0.67037416
2040-02-14,0.8889123,0.77245396,1.2337036,0.9332233
2040-02-15,47.156826,33.11794,15.239892,45.79038
2040-02-16,56.63785,45.821007,23.400732,69.34105
2040-02-17,51.26076,28.624117,20.51534,49.60949
2040-02-18,71.45586,68.80727,27.863903,87.166435
2040-02-19,36.622253,28.577042,15.076915,44.718044
2040-02-20,63.037212,59.73445,28.860485,80.83866
2040-02-21,23.245901,9.692971,6.4763517,21.776077
2040-02-22,2.85427,1.8281585,2.630527,3.0472949
2040-02-23,0.11248333,0.14627768,1.4044099,0.0864578
2040-02-24,8.357922,15.380792,20.435488,17.692099
2040-02-25,75.99418,91.224434,60.06527,107.09987
2040-02-26,63.04037,19.640905,13.16236,39.26969
2040-02-27,5.5447307,1.6289927,3.4533696,3.362996
2040-02-28,0.159499,0.31389397,0.2605744,0.3897655
2040-03-01,0.041486785,0.111410946,0.18328643,0.100633964
2040-03-02,1.2062095,2.5688472,2.489289,2.755133
2040-03-03,6.421535,5.3686213,2.7509751,7.5904307
2040-03-04,7.8250704,3.5394464,3.0538723,6.8532233
2040-03-05,1.1908555,1.1134399,2.7387156,0.67195904
2040-03-06,8.706788,7.0422435,3.770268,11.082938
2040-03-07,16.885849,5.8736205,4.1670995,10.701063
2040-03-08,4.198127,4.9354362,3.3580422,7.273969
2040-03-09,0.3451955,0.4291417,1.3344799,0.57181937
2040-03-10,0.0,0.008266048,0.020065911,0.00030717693
2040-03-11,0.002178657,0.028526105,1.7960664,0.0021952644
2040-03-12,1.6378956,16.714432,23.763943,9.15764
2040-03-13,100.71399,68.04696,26.545444,127.491776
2040-03-14,61.834843,35.813946,21.04005,66.14075
2040-03-15,38.770683,60.79405,38.6299,83.909294
2040-03-16,76.827995,66.78509,38.738403,87.240746
2040-03-17,12.547053,9.694636,6.0160384,11.699238
2040-03-18,3.1161,3.9572139,2.311877,5.8549232
2040-03-19,0.47131497,0.23751509,0.5601699,0.34716198
2040-03-20,41.565395,38.76109,23.776424,62.32419
2040-03-21,20.957363,6.344031,2.4996798,15.229518
2040-03-22,0.19469619,0.5603425,0.9079631,0.69405377
2040-03-23,0.038862273,0.124824926,0.59846336,0.11529941
2040-03-24,0.068492614,0.014358922,0.0783176,0.042232327
2040-03-25,0.0,0.0,0.00070475845,0.0
2040-03-26,0.0,0.0,0.008993903,0.0
2040-03-27,0.0,0.004454161,0.011755031,0.0
2040-03-28,0.0,0.047852766,0.5964982,0.014212186
2040-03-29,4.614598,4.2294016,10.896151,4.7875714
2040-03-30,16.634481,14.3053465,8.912387,17.219202
2040-03-31,30.879412,13.584762,7.419468,18.537138
2040-04-01,45.05661,30.991806,11.577918,30.641788
2040-04-02,8.358071,1.3264955,0.20226842,9.9865465
2040-04-03,0.19363329,0.030114627,0.05082538,0.109039806
2040-04-04,0.007845251,0.16256614,0.9591899,0.10805124
2040-04-05,0.06808695,0.16108422,1.3140835,0.07635898
2040-04-06,2.053315,4.8801103,5.300166,6.0202646
2040-04-07,2.62953,4.8967886,10.073339,3.6045513
2040-04-08,3.3994393,4.5753093,2.4341383,4.656397
2040-04-09,0.064526066,0.14131024,0.06488125,0.08781558
2040-04-10,0.0,0.0,3.7323662e-06,0.0
2040-04-11,0.00038854088,0.0051560653,0.004259178,0.0018450627
2040-04-12,0.0,0.0,0.0,0.0
2040-04-13,0.0,0.0,0.0,0.0
2040-04-14,0.0,0.0,0.0,0.0
2040-04-15,0.0,0.0,0.0,0.0
2040-04-16,0.0008142983,0.005261873,0.0014232389,0.001981141
2040-04-17,0.0,0.0,0.0,0.0
2040-04-18,0.0,0.0,0.00037982306,0.0
2040-04-19,0.0024853218,0.0045276443,0.0044120955,0.0061325324
2040-04-20,0.00021436738,0.00416585,0.096343994,0.00034820056
2040-04-21,0.00023669732,0.03125321,0.8616254,0.0
2040-04-22,0.0,0.021237424,1.5438766,0.0035780608
2040-04-23,0.0013591489,0.02888549,0.010382453,0.019569272
2040-04-24,7.741044e-05,0.0003172222,0.13768423,0.00020011528
2040-04-25,0.008415408,0.06449288,0.5281373,0.018962923
2040-04-26,1.3159589,1.5518767,3.795585,1.8726866
2040-04-27,0.47982118,0.90510577,2.0871568,0.802119
2040-04-28,0.010420636,0.008324272,0.04379569,5.6032273e-05
2040-04-29,0.032249637,0.07923407,0.7713435,0.036436986
2040-04-30,0.95544285,1.2998701,2.9498265,1.7010919
2040-05-01,0.04868149,0.12329925,0.60479003,0.03623287
2040-05-02,0.023589343,0.09429108,0.18625295,0.017440045
